segment	rtt	rttvar	srtt	rto
0	286.874	143.437	286.874	1434.37
1	294.585	136.651	287.067	1380.27
2	298.83	131.447	287.312	1338.89
3	301.328	126.554	287.604	1300.04
4	303.984	122.619	287.896	1268.85
5	308.833	118.988	288.27	1240.17
6	314.394	116.086	288.678	1217.37
7	316.525	113.328	289.114	1195.74
8	317.792	110.977	289.512	1177.33
9	320.515	108.755	289.942	1159.99
12	66.1384	111.632	287.145	1180.2
13	67.4156	114.334	284.398	1199.07
14	66.7743	116.682	281.925	1215.38
15	73.4456	118.768	279.556	1229.7
16	73.1089	120.595	277.406	1242.16
17	76.5035	122.268	275.313	1253.45
18	78.5207	123.701	273.421	1263.03
19	82.7304	124.989	271.587	1271.5
20	83.9938	126.107	269.912	1278.77
21	84.1898	127.172	268.254	1285.63
22	84.6765	128.112	266.724	1291.62
23	85.2386	129.001	265.212	1297.22
24	83.3058	129.828	263.791	1302.41
25	84.9042	130.594	262.393	1307.15
26	84.7332	131.287	261.087	1311.38
27	86.1372	131.929	259.8	1315.23
28	89.0883	132.467	258.615	1318.35
29	89.8455	132.972	257.443	1321.21
30	142.632	132.733	256.688	1318.55
31	146.375	132.438	255.962	1315.46
32	146.149	132.155	255.275	1312.51
33	149.006	131.831	254.611	1309.26
34	156.424	131.431	254.027	1305.47
35	163.937	130.938	253.491	1301
36	168.34	130.418	253.007	1296.35
37	171.637	129.834	252.522	1291.2
38	173.49	129.229	252.052	1285.89
42	167.498	128.671	251.524	1280.89
43	170.956	128.07	251.02	1275.58
44	168.847	127.466	250.479	1270.21
45	170.192	126.845	249.951	1264.71
46	165.581	126.255	249.365	1259.41
49	169.853	125.606	248.813	1253.66
51	169.694	124.922	248.231	1247.61
52	171.727	124.21	247.669	1241.35
53	175.972	123.39	247.109	1234.23
48	183.9	122.449	246.615	1226.21
54	179.807	121.522	246.058	1218.23
55	180.632	120.587	245.513	1210.21
58	180.528	119.594	244.933	1201.69
59	181.972	118.583	244.371	1193.03
60	181.884	117.504	243.77	1183.8
61	182.653	116.42	243.182	1174.54
62	178.362	115.345	242.507	1165.26
63	179.11	114.263	241.846	1155.95
64	180.41	113.062	241.148	1145.64
65	181.419	111.85	240.47	1135.27
66	128.88	111.844	239.201	1133.95
67	129.052	111.805	237.95	1132.39
68	127.02	111.785	236.689	1130.97
69	133.523	111.59	235.517	1128.23
70	229.993	109.179	235.454	1108.89
71	230.81	106.803	235.401	1089.83
72	230.704	104.483	235.348	1071.21
73	233.386	102.153	235.326	1052.55
74	225.326	100.058	235.212	1035.68
75	229.394	97.9164	235.146	1018.48
76	223.209	95.9623	235.01	1002.71
77	225.355	94.0008	234.901	986.907
78	170.348	93.3315	234.167	980.819
79	170.681	92.6532	233.446	974.671
80	138.4	92.7076	232.365	974.026
81	139.507	92.711	231.31	972.998
82	142.05	92.6326	230.296	971.357
83	149.349	92.367	229.376	968.312
84	165.305	91.7239	228.648	962.439
85	165.258	91.08	227.928	956.567
86	165.238	90.4347	227.215	950.693
87	165.179	89.7893	226.51	944.825
88	164.453	89.1591	225.805	939.078
90	161.734	88.6364	225.138	934.229
91	160.271	88.1412	224.462	929.592
89	165.831	87.5264	223.851	924.062
92	157.79	87.0792	223.163	919.797
94	152.714	86.7327	222.429	916.291
95	153.815	86.3553	221.715	912.557
96	150.41	86.0417	220.972	909.306
93	164.733	85.4208	220.386	903.753
97	141.21	85.2907	219.561	901.887
98	77.1059	86.4817	218.077	909.931
99	77.5201	87.7107	216.48	918.165
100	77.6139	88.8733	214.902	925.888
