consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,9.83652,14.8622,17.1109
con1,9.40405,,16.8707,15.7118
con2,12.8968,14.0262,,9.63567
con3,12.8956,14.0266,9.79454,
