time	cwndsize
0.35516	11
0.360154	12
0.361546	13
0.362904	14
0.367719	15
0.369091	16
0.371189	17
0.37608	18
0.377428	19
0.379501	20
0.416987	21
0.417646	22
0.437142	23
0.43848	24
0.443322	25
0.445338	26
0.446721	27
0.448097	28
0.45634	29
0.458416	30
0.459792	31
0.461202	32
0.463202	33
0.464615	34
0.47286	35
0.474218	36
0.476322	37
0.477688	38
0.479039	39
0.481097	40
0.594263	41
0.595613	42
0.60238	43
0.602609	21.5
0.626553	21.5476
0.627483	21.5952
0.630911	21.6429
0.631848	21.6905
0.637873	21.7381
0.639248	21.7857
0.641315	21.8333
0.642694	21.881
0.644736	21.9286
0.646143	21.9762
0.647594	22.0238
0.649546	22.0693
0.663989	22.1147
0.665375	22.1602
0.666757	22.2056
0.668822	22.2511
0.670182	22.2965
0.671698	22.342
0.67365	22.3874
0.674975	22.4329
0.676382	22.4784
0.678451	22.5238
0.67981	22.5693
0.681189	22.6147
0.696323	22.6602
0.697677	22.7056
0.699745	22.7511
0.701118	22.7965
0.702499	22.842
0.704557	22.8874
0.705932	22.9329
0.707303	22.9784
0.709389	23.0238
0.710832	23.0673
0.714324	23.1108
0.714469	23.1542
0.905866	23.1977
0.906757	23.2412
0.90769	23.2847
0.908603	23.3282
0.910679	23.3716
0.912748	23.4151
0.914807	23.4586
0.91755	23.5021
1.09795	23.5455
1.09886	23.589
1.09979	23.6325
1.10071	23.676
1.10343	23.7195
1.10437	23.7629
1.10524	23.8064
1.1063	23.8499
1.19694	23.8934
1.19855	23.9369
1.1995	23.9803
1.20426	24.0238
1.21049	24.0655
1.2146	24.1071
1.2174	24.1488
1.21943	24.1905
1.22081	24.2321
1.67385	24.2738
1.67577	24.3155
1.67717	24.3571
1.67853	24.3988
1.68065	24.4405
1.68195	24.4821
1.68336	24.5238
1.69094	24.5655
1.70131	24.6071
1.7027	24.6488
1.70402	24.6905
1.7054	24.7321
1.70955	24.7738
1.71162	24.8155
1.76142	24.8571
1.7621	24.8988
1.76279	24.9405
1.76353	24.9821
1.76418	25.0238
1.76489	25.0638
1.76556	25.1038
1.76904	25.1438
1.7704	25.1838
1.77179	25.2238
2.01202	25.2638
2.01567	25.3038
2.01665	25.3438
2.01765	25.3838
2.04105	25.4238
2.05249	25.4638
2.05344	25.5038
2.06075	25.5438
2.08024	25.5838
2.08159	25.6238
2.08298	25.6638
2.08371	25.7038
2.08435	25.7438
2.08575	25.7838
2.09467	25.8238
2.10291	25.8638
2.10585	25.9038
2.10725	25.9438
2.10928	25.9838
2.11065	26.0238
2.11208	26.0623
2.1141	26.1007
2.11892	26.1392
2.12171	26.1777
2.12513	26.2161
2.26911	26.2546
2.27186	26.293
2.27531	26.3315
2.29461	26.37
2.34634	26.4084
2.34772	13.2042
2.34915	13.2811
2.34984	13.3581
2.35051	13.435
2.35191	13.5119
2.35742	13.5888
2.3602	13.6658
2.36297	13.7427
2.37192	13.8196
2.38011	13.8965
2.3815	13.9734
2.38355	14.0504
2.38493	14.1218
2.38633	14.1932
2.38705	14.2647
2.38912	14.3361
2.3905	14.4075
2.39879	14.4789
2.41393	14.5504
2.41873	14.6218
2.55627	14.6932
2.55764	14.7647
2.55833	14.8361
2.55906	14.9075
2.57834	14.9789
2.58534	15.0504
2.59222	15.117
2.5943	15.1837
2.59917	15.2504
2.59988	15.317
2.60471	15.3837
2.61507	15.4504
2.62752	15.517
2.62821	7.75852
2.68542	7.90137
2.68609	8.04423
2.68749	8.16923
2.68816	8.29423
2.70264	8.41923
2.71442	8.54423
2.71721	8.66923
2.71856	8.79423
2.72199	8.91923
2.7275	9.04423
2.72886	9.15534
2.73306	9.26645
2.73786	9.37756
2.75099	9.48868
2.78216	9.59979
2.78283	9.7109
2.78352	9.82201
2.78903	9.93312
2.79041	10.0442
2.79247	10.1442
2.79451	10.2442
2.79728	10.3442
2.80774	10.4442
2.82365	10.5442
2.82435	10.6442
2.82918	10.7442
2.83125	10.8442
2.83263	10.9442
2.834	11.0442
2.83813	11.1351
2.8395	11.226
2.84368	11.317
2.88766	11.4079
2.89669	11.4988
2.89736	11.5897
2.89806	11.6806
2.89877	11.7715
2.89943	11.8624
2.90013	11.9533
2.90081	12.0442
2.90222	12.1276
2.90565	12.2109
2.92489	12.2942
2.97054	12.3776
2.98097	12.4609
2.98234	12.5442
2.98441	12.6276
2.98576	12.7109
2.9892	12.7942
2.99194	12.8776
2.99333	12.9609
2.9947	13.0442
2.99675	13.1212
3.00159	13.1981
3.00442	13.275
3.0426	13.3519
3.05909	13.4288
3.06046	13.5058
3.06251	13.5827
3.06388	13.6596
3.06525	13.7365
3.06954	13.8135
3.07092	13.8904
3.0723	13.9673
3.07642	14.0442
3.08193	14.1157
3.08536	14.1871
3.09446	14.2585
3.13404	14.3299
3.15133	14.4014
3.15222	14.4728
3.15429	14.5442
3.15564	14.6157
3.15769	14.6871
3.17741	14.7585
3.1788	14.8299
3.18018	14.9014
3.18289	14.9728
3.19047	15.0442
3.19389	15.1109
3.19466	15.1776
3.20854	15.2442
3.23162	15.3109
3.24683	15.3776
3.2544	15.4442
3.25652	15.5109
3.25785	15.5776
3.26061	15.6442
3.26198	15.7109
3.26479	15.7776
3.26551	15.8442
3.26618	15.9109
3.26689	15.9776
3.26758	16.0442
3.26827	16.1067
3.28137	16.1692
3.29176	16.2317
3.30005	16.2942
3.31398	16.3567
3.32024	16.4192
3.32153	16.4817
3.32289	16.5442
3.32496	16.6067
3.32637	16.6692
3.32771	16.7317
3.32977	16.7942
3.33254	16.8567
3.33462	16.9192
3.33596	16.9817
3.33941	17.0442
3.3408	17.1031
3.34641	17.1619
3.36851	17.2207
3.37131	17.2795
3.37818	17.3383
3.37958	17.3972
3.38164	17.456
3.38303	17.5148
3.38438	17.5736
3.38644	17.6325
3.38783	17.6913
3.38926	17.7501
3.39126	17.8089
3.39266	17.8678
3.39401	17.9266
3.39611	17.9854
3.39677	18.0442
3.40652	18.0998
3.41757	18.1553
3.42104	18.2109
3.42658	18.2665
3.42726	9.13323
3.42797	9.24434
3.42866	9.35545
3.42944	9.46656
3.43006	9.57767
3.43074	9.68878
3.43145	9.79989
3.43212	9.911
3.4328	10.0221
3.44395	10.1221
3.44464	10.2221
3.44531	10.3221
3.44604	10.4221
3.45734	10.5221
3.46909	10.6221
3.47253	10.7221
3.47531	10.8221
3.47601	10.9221
3.4767	11.0221
3.4774	11.113
3.48085	11.2039
3.48359	11.2948
3.48496	11.3858
3.48841	11.4767
3.49046	11.5676
3.49256	11.6585
3.49397	11.7494
3.49467	11.8403
3.49533	11.9312
3.49604	12.0221
3.49673	12.1054
3.49741	12.1888
3.51887	12.2721
3.52026	12.3554
3.52641	12.4388
3.52785	12.5221
3.52854	12.6054
3.52925	12.6888
3.55003	12.7721
3.55143	12.8554
3.55291	12.9388
3.55355	13.0221
3.55429	13.099
3.55493	13.176
3.56596	13.2529
3.56938	13.3298
3.57144	13.4067
3.57351	13.4837
3.57839	13.5606
3.57976	13.6375
3.58046	13.7144
3.59777	13.7913
3.59846	13.8683
3.60672	13.9452
3.60812	14.0221
3.6095	14.0935
3.61156	14.165
3.61636	14.2364
3.61912	14.3078
3.62118	14.3793
3.62256	14.4507
3.62406	14.5221
3.6247	14.5935
3.62608	14.665
3.62818	14.7364
3.62955	14.8078
3.63302	14.8793
3.63439	14.9507
3.64056	15.0221
3.64537	15.0888
3.66205	15.1554
3.66409	15.2221
3.67508	15.2888
3.67651	15.3554
3.67722	15.4221
3.67999	15.4888
3.68136	15.5554
3.68205	15.6221
3.68415	15.6888
3.69514	15.7554
3.69791	15.8221
3.70271	15.8888
3.70487	15.9554
3.70555	16.0221
3.70624	16.0846
3.72387	16.1471
3.72526	16.2096
3.73697	16.2721
3.74058	16.3346
3.75044	16.3971
3.75245	16.4596
3.75537	16.5221
3.75671	16.5846
3.75809	16.6471
3.76959	16.7096
3.77091	16.7721
3.77369	16.8346
3.77512	16.8971
3.79027	16.9596
3.79162	17.0221
3.8	17.0809
3.81162	17.1398
3.81301	17.1986
3.82471	17.2574
3.82619	17.3162
3.82754	17.3751
3.82824	17.4339
3.85167	17.4927
3.85343	17.5515
3.85826	17.6104
3.86305	17.6692
3.86444	17.728
3.86787	17.7868
3.87203	17.8456
3.88931	17.9045
3.89171	17.9633
3.89305	18.0221
3.90069	18.0777
3.91654	18.1332
3.91789	18.1888
3.92076	18.2443
3.92429	18.2999
3.92769	18.3554
3.93047	18.411
3.94151	18.4666
3.94222	18.5221
3.9429	18.5777
3.95393	18.6332
3.95531	18.6888
3.96359	18.7443
3.96572	18.7999
3.98226	18.8554
3.98779	18.911
3.98911	18.9666
3.99051	19.0221
3.99821	19.0747
4.00785	19.1274
4.00854	19.18
4.01	19.2326
4.01071	19.2853
4.01138	19.3379
4.01416	19.3905
4.02041	19.4432
4.02861	19.4958
4.03188	19.5484
4.03462	19.6011
4.03806	19.6537
4.04426	19.7063
4.05817	19.759
4.06864	19.8116
4.06932	19.8642
4.07086	19.9169
4.07206	19.9695
4.07654	20.0221
4.08273	20.0721
4.08403	20.1221
4.08535	20.1721
4.09084	20.2221
4.09157	20.2721
4.09294	20.3221
4.09359	20.3721
4.0943	20.4221
4.11108	20.4721
4.11525	20.5221
4.11657	20.5721
4.11872	20.6221
4.12082	20.6721
4.13401	20.7221
4.14718	20.7721
4.14787	20.8221
4.14858	20.8721
4.14996	20.9221
4.15159	20.9721
4.15255	21.0221
4.1615	21.0697
4.16287	21.1174
4.16424	21.165
4.16906	21.2126
4.17112	21.2602
4.1725	21.3078
4.17392	21.3554
4.17593	21.4031
4.17737	21.4507
4.17946	21.4983
4.18016	21.5459
4.18092	21.5935
4.18228	21.6412
4.18711	21.6888
4.20433	21.7364
4.2057	21.784
4.20705	21.8316
4.21051	21.8793
4.21129	21.9269
4.21195	21.9745
4.21259	22.0221
4.2154	22.0676
4.21621	22.113
4.21673	22.1585
4.21877	22.2039
4.21946	22.2494
4.22019	22.2948
4.2209	22.3403
4.22157	22.3858
4.22227	22.4312
4.22436	22.4767
4.22505	22.5221
4.22642	22.5676
4.2395	22.613
4.24856	22.6585
4.25403	22.7039
4.25471	22.7494
4.25543	22.7948
4.25883	22.8403
4.26023	22.8858
4.26161	22.9312
4.26366	22.9767
4.26504	23.0221
4.27121	23.0656
4.27328	23.1091
4.28023	23.1526
4.28301	23.196
4.28508	23.2395
4.28645	23.283
4.28715	23.3265
4.28852	23.3699
4.29065	23.4134
4.2954	23.4569
4.29678	23.5004
4.29884	23.5439
4.3016	23.5873
4.31409	23.6308
4.32369	23.6743
4.32504	23.7178
4.32711	23.7612
4.32989	23.8047
4.33192	23.8482
4.33329	23.8917
4.33467	23.9352
4.33673	23.9786
4.3381	24.0221
4.34434	24.0638
4.34635	24.1054
4.34916	24.1471
4.34988	24.1888
4.35052	24.2304
4.35124	24.2721
4.3519	24.3138
4.3526	24.3554
4.3547	24.3971
4.3595	24.4388
4.36087	24.4804
4.36366	24.5221
4.36843	24.5638
4.37118	24.6054
4.38153	24.6471
4.38226	24.6888
