key,value1,value2
file_size(kB/seg_counts),50000,6104
max_transfer_time(s),13.4028,"(3, 1)"
min_transfer_time(s),11.3441,"(0, 1)"
consumer_io(max[μs]/avg[μs]),6273.0,5198.0
producer_io(max[μs]/avg[μs]),259854,256149.75
max/min throughput for single link(Mbps),35.260620058003724,29.844510102366673
throughput(Mbps),89.53353030710001,based on bw=100Mbps
ultilization,0.8953353030710001,89.53353030710001%
consumer io percentage,0.00046803652968036534,0.046803652968036534%
producer io percentage,0.01938803832035097,1.938803832035097%
