host,hit,cold_miss,suppress_miss,retry_miss
client0,1636,24419,34,0
client1,1287,28470,17,0
client2,1383,29044,25,0
client3,1332,26401,10,0
s0,10616,28570,4737,7242
s1,10755,31440,3448,6032
s2,2164,24416,718,5176
