host,hit,cold_miss,suppress_miss,retry_miss
client0,1051,29981,35,0
client1,38,33443,0,0
client2,67,35225,5,0
client3,153,33233,0,0
s0,1468,47406,3053,1742
s1,1715,47147,4957,3876
s2,1436,35721,636,2395
