consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,8.50597,15.2836,15.4946
con1,9.7035,,15.2832,15.4945
con2,13.3137,14.3308,,10.242
con3,13.3127,14.3295,9.59725,
