segment	rtt	rttvar	srtt	rto
0	295.726	147.863	295.726	1478.63
1	301.277	140.748	295.865	1421.85
2	301.348	135.112	295.979	1376.87
3	301.379	129.707	296.092	1333.75
4	306.374	125.442	296.275	1299.81
5	310.677	121.476	296.533	1268.34
6	312.145	118.168	296.777	1242.12
7	312.178	114.956	297.017	1216.67
8	312.271	112.187	297.229	1194.72
9	312.287	109.489	297.438	1173.35
10	45.2115	113.057	294.285	1198.74
11	45.2444	116.457	291.172	1222.83
12	54.7842	119.182	288.486	1241.95
13	54.8604	121.783	285.831	1260.1
14	54.9023	124.057	283.426	1275.88
15	60.4509	126.118	281.103	1290.05
16	60.5117	127.935	278.982	1302.46
17	65.6275	129.578	276.931	1313.55
18	93.5625	130.538	275.293	1319.6
19	93.5952	131.452	273.671	1325.28
20	95.3278	132.233	272.185	1330.05
21	95.3555	132.977	270.711	1334.52
22	93.9123	133.661	269.33	1338.62
23	97.8195	134.253	267.99	1342.01
24	97.8511	134.78	266.739	1344.98
25	98.5999	135.271	265.503	1347.67
26	98.6485	135.71	264.344	1350.02
27	104.208	136.049	263.232	1351.62
28	104.359	136.349	262.187	1352.98
29	104.457	136.63	261.149	1354.19
30	115.06	136.749	260.236	1354.23
31	130.607	136.66	259.426	1352.7
32	130.692	136.565	258.66	1351.18
33	133.691	136.427	257.916	1349.33
34	131.66	136.312	257.198	1347.69
35	136.931	136.129	256.515	1345.55
36	136.888	135.95	255.865	1343.47
37	142.736	135.702	255.25	1340.87
38	142.726	135.461	254.664	1338.35
39	142.789	135.215	254.081	1335.8
40	175.509	134.648	253.688	1330.88
41	175.625	134.083	253.298	1325.96
42	180.506	133.493	252.948	1320.89
43	180.546	132.906	252.6	1315.85
44	180.435	132.343	252.266	1311.01
45	180.746	131.78	251.935	1306.18
46	230.195	130.798	251.838	1298.22
47	230.246	129.823	251.741	1290.32
48	235.972	128.839	251.673	1282.39
49	236.103	127.863	251.606	1274.51
50	230.334	126.975	251.518	1267.32
51	240.809	126.006	251.473	1259.52
52	240.831	125.076	251.43	1252.03
53	240.895	124.152	251.388	1244.6
54	240.956	123.263	251.347	1237.45
55	241.024	122.381	251.307	1230.35
56	269.987	121.595	251.377	1224.14
57	270.046	120.816	251.448	1217.97
58	270.018	120.064	251.516	1212.03
59	270.035	119.317	251.584	1206.12
60	274.5	118.629	251.666	1200.7
61	274.54	117.945	251.748	1195.31
62	274.423	117.283	251.827	1190.09
63	279.872	116.663	251.924	1185.23
64	274.364	116.027	252	1180.21
65	274.383	115.394	252.076	1175.23
66	279.923	114.818	252.167	1170.71
67	279.997	114.246	252.259	1166.22
68	279.942	113.691	252.347	1161.87
69	279.971	113.139	252.436	1157.55
70	328.457	112.907	252.673	1155.93
71	333.786	112.708	252.927	1154.59
72	340.157	112.553	253.193	1153.62
73	351.205	112.464	253.492	1153.21
74	351.134	112.376	253.782	1152.79
75	351.149	112.287	254.072	1152.37
76	348.173	112.181	254.346	1151.79
77	348.191	112.074	254.618	1151.21
78	335.153	111.895	254.847	1150.01
79	340.78	111.748	255.091	1149.07
80	335.56	111.574	255.315	1147.91
81	335.575	111.4	255.538	1146.74
82	335.581	111.23	255.755	1145.59
83	335.663	111.059	255.972	1144.45
84	335.019	110.889	256.183	1143.3
85	335.05	110.719	256.392	1142.14
86	334.972	110.551	256.597	1141.01
87	335.003	110.384	256.801	1139.87
88	340.274	110.244	257.019	1138.97
89	340.306	110.1	257.24	1138.04
90	302.048	109.753	257.359	1135.38
91	302.066	109.4	257.481	1132.68
92	301.994	109.047	257.602	1129.98
93	302.019	108.688	257.725	1127.23
94	297.06	108.303	257.834	1124.26
95	302.5	107.941	257.961	1121.49
96	302.534	107.581	258.088	1118.74
97	302.551	107.214	258.217	1115.93
98	297.582	106.82	258.332	1112.89
99	297.694	106.418	258.449	1109.79
100	297.415	106.017	258.565	1106.7
101	297.485	105.607	258.683	1103.54
102	220.098	105.199	258.566	1100.16
103	220.12	104.782	258.446	1096.7
104	220.235	104.365	258.326	1093.25
105	220.272	103.94	258.204	1089.73
106	214.571	103.554	258.064	1086.49
107	214.596	103.158	257.921	1083.19
108	214.483	102.766	257.779	1079.9
109	225.039	102.292	257.668	1076.01
110	224.781	101.823	257.557	1072.14
111	224.79	101.344	257.443	1068.19
112	214.329	100.94	257.293	1064.81
113	214.373	100.525	257.14	1061.34
114	214.355	100.113	256.987	1057.89
115	214.368	99.6899	256.831	1054.35
116	219.837	99.2289	256.695	1050.53
117	219.86	98.7563	256.555	1046.61
118	219.787	98.2867	256.416	1042.71
119	219.803	97.8048	256.273	1038.71
120	219.77	97.3259	256.13	1034.74
121	219.783	96.8341	255.984	1030.66
122	209.281	96.4298	255.795	1027.23
123	219.687	95.9272	255.645	1023.06
124	219.684	95.4274	255.495	1018.91
125	219.695	94.9134	255.341	1014.65
126	219.69	94.4025	255.187	1010.41
127	224.993	93.8292	255.052	1005.69
128	225.003	93.2598	254.918	1001
129	225.012	92.6732	254.78	996.165
130	219.791	92.139	254.618	991.73
131	219.833	91.5876	254.45	987.151
132	219.823	91.0399	254.284	982.603
133	219.834	90.474	254.112	977.903
134	219.829	89.9121	253.94	973.237
135	225.617	89.2705	253.793	967.957
136	220.182	88.6907	253.618	963.143
137	220.246	88.1145	253.444	958.36
138	220.271	87.5422	253.271	953.608
139	230.968	86.8626	253.155	948.056
140	236.46	86.1317	253.068	942.121
141	236.496	85.4071	252.982	936.238
142	230.789	84.7486	252.866	930.855
143	230.8	84.0957	252.751	925.517
144	230.734	83.449	252.636	920.229
145	236.554	82.7473	252.553	914.531
146	236.573	82.0518	252.469	908.884
147	236.586	81.3625	252.387	903.287
148	236.697	80.6784	252.305	897.733
149	241.728	79.9482	252.25	891.836
150	210.222	79.5532	252.031	888.457
151	232.741	78.9255	251.931	883.334
152	232.972	78.3008	251.832	878.238
153	233.013	77.6812	251.734	873.184
154	211.11	77.2952	251.522	869.884
155	211.121	76.9109	251.312	866.599
156	205.449	76.5875	251.073	863.773
157	205.479	76.2646	250.835	860.953
158	205.465	75.9428	250.599	858.142
159	205.476	75.6218	250.364	855.338
160	205.472	75.3017	250.13	852.544
161	205.537	74.9818	249.898	849.752
162	205.539	74.6628	249.667	846.97
163	210.994	74.2879	249.466	843.769
164	211.007	73.9147	249.265	840.583
165	211.023	73.558	249.074	837.538
166	211.021	73.2029	248.884	834.507
167	211.065	72.8491	248.695	831.487
168	205.456	72.553	248.479	828.902
169	205.51	72.2571	248.264	826.321
170	205.522	71.962	248.05	823.746
171	210.9	71.6139	247.864	820.775
172	210.913	71.2672	247.679	817.817
173	210.911	70.9222	247.496	814.874
174	210.908	70.5789	247.313	811.944
175	210.919	70.237	247.131	809.027
176	210.888	69.8971	246.95	806.126
177	210.934	69.5583	246.769	803.236
178	205.749	69.2729	246.564	800.748
179	211.194	68.9339	246.387	797.859
180	211.201	68.5964	246.212	794.983
181	211.215	68.2604	246.037	792.12
182	211.198	67.9262	245.862	789.272
183	211.21	67.5935	245.689	786.437
184	134.269	68.0317	245.132	789.386
185	139.887	68.4194	244.584	791.939
186	139.83	68.7979	244.038	794.421
187	156.492	69.0016	243.562	795.576
188	145.879	69.3134	243.032	797.539
189	140.384	69.6922	242.448	799.986
190	140.408	70.0598	241.869	802.347
191	140.409	70.4336	241.265	804.733
192	145.836	70.7312	240.697	806.546
193	145.858	71.0325	240.104	808.364
194	140.034	71.3955	239.478	810.642
195	140.018	71.7648	238.824	812.942
196	140.013	72.1206	238.174	815.139
197	139.868	72.4843	237.491	817.366
198	151.732	72.6687	236.896	818.245
199	112.459	73.43	235.981	823.421
200	95.4663	74.4165	234.948	830.28
201	89.9562	75.5192	233.815	837.969
202	89.9451	76.5872	232.691	845.389
203	95.679	77.5943	231.549	852.304
204	95.6913	78.5654	230.417	858.94
205	90.4122	79.6625	229.167	866.467
206	95.8763	80.6201	227.977	872.938
207	95.8866	81.6099	226.707	879.586
208	101.088	82.4563	225.499	885.149
209	101.111	83.2626	224.303	890.404
210	101.056	84.0316	223.118	895.37
211	101.05	84.763	221.944	900.048
212	95.6282	85.5621	220.729	905.227
213	100.997	86.2192	219.578	909.332
214	106.537	86.7351	218.491	912.372
215	106.592	87.219	217.415	915.167
216	106.638	87.672	216.35	917.726
217	106.731	88.0941	215.296	920.049
218	106.725	88.4879	214.252	922.155
219	106.675	88.855	213.218	924.058
220	106.655	89.1955	212.193	925.757
221	106.348	89.5157	211.175	927.301
222	106.385	89.8094	210.168	928.643
223	106.504	90.0759	209.171	929.778
224	106.53	90.3175	208.184	930.724
225	106.536	90.5354	207.207	931.49
226	106.486	90.7313	206.238	932.088
227	111.617	90.8061	205.328	931.777
228	111.644	90.8614	204.428	931.319
229	106.202	91.003	203.483	931.507
230	106.191	91.124	202.548	931.539
231	106.189	91.2247	201.621	931.418
232	106.262	91.3042	200.704	931.137
233	106.332	91.3631	199.797	930.702
234	65.9287	92.1805	198.51	935.954
235	65.9664	92.9567	197.235	940.889
236	65.9735	93.6934	195.973	945.52
237	71.5096	94.2851	194.776	949.057
238	71.5307	94.842	193.591	952.327
239	66.2959	95.5181	192.265	956.41
240	60.7752	96.2676	190.895	961.036
241	60.828	97.0357	189.417	965.703
242	60.7919	97.7537	187.956	969.985
243	71.604	98.2186	186.501	972.25
244	76.7622	98.5066	185.13	973.183
245	76.7837	98.78	183.625	973.865
246	76.777	99.0041	182.141	974.173
247	71.7209	99.3608	180.416	975.302
248	71.7676	99.651	178.718	975.926
249	71.6463	99.9161	176.806	976.134
250	76.7416	99.9213	175.019	974.39
251	76.7617	99.8619	173.264	972.16
252	76.7642	99.7419	171.541	969.476
253	71.5892	99.7494	169.756	967.751
254	71.5793	99.6932	168.003	965.549
255	71.5771	99.5765	166.281	962.894
256	71.6136	99.4012	164.591	959.8
257	71.6438	99.1707	162.931	956.297
258	76.8684	98.7026	161.394	951.015
259	76.869	98.1962	159.885	945.455
260	76.8815	97.6536	158.403	939.632
261	33.067	98.6423	156.164	945.303
262	33.032	99.5169	153.966	950.101
263	33.071	100.28	151.807	954.05
264	41.2727	100.647	149.833	955.006
265	57.5712	100.347	148.185	950.963
266	74.8442	99.3827	146.876	941.937
267	75.5263	98.3815	145.602	932.653
268	79.7168	97.2209	144.425	922.192
269	81.7831	95.9859	143.307	911.194
270	81.7648	94.7558	142.208	900.254
271	81.7362	93.5313	141.128	889.378
272	76.3777	92.5034	139.972	879.999
273	76.4835	91.4672	138.838	870.575
