consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,9.66355,15.6766,15.8006
con1,10.7894,,15.6794,14.9949
con2,15.1766,14.7567,,11.0515
con3,15.9646,14.7477,9.32421,
