consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,10.2396,13.7583,15.3056
con1,9.53104,,13.7495,16.1107
con2,16.3785,16.5549,,9.57715
con3,17.3308,15.1726,9.44857,
