host,hit,cold_miss,suppress_miss,retry_miss
client0,2223,48832,0,40
client1,3127,48832,0,26
client2,3106,48832,0,34
client3,3165,48832,0,46
client4,2837,48832,0,23
client5,2102,48832,4,43
client6,2942,48832,0,35
client7,2311,48832,7,39
s0,39746,48832,6512,7799
s1,38808,48832,7076,8552
s2,36676,48851,11192,14201
s3,32119,48837,9252,10887
s4,36748,48832,6825,9658
s5,32242,48847,13087,16849
s6,628,48852,157,11816
