consumer/producer(seconds),pro0,pro1,pro2,pro3,pro4,pro5,pro6,pro7
con0,,30.3094,30.1767,30.2129,29.5787,29.5678,29.6412,29.3041
con1,29.5549,,30.3068,30.2867,29.5654,29.763,30.0112,29.791
con2,29.5167,30.3433,,30.1915,29.9466,29.7677,29.9269,29.7925
con3,29.4606,30.3356,30.1923,,29.9862,29.6788,29.9555,29.973
con4,29.1924,30.3396,30.1954,30.1749,,29.3847,29.6833,29.4336
con5,29.1966,30.3432,30.1294,30.152,29.4231,,29.6215,29.2889
con6,29.1938,30.3428,30.1334,30.1583,29.4972,29.4611,,29.5121
con7,29.1758,30.3386,30.1379,30.172,29.4156,29.2604,29.5404,
