key,value1,value2
file_size(kB/seg_counts),50000,6104
max_transfer_time(s),30.3433,"(2, 1)"
min_transfer_time(s),29.1758,"(7, 0)"
consumer_io(max[μs]/avg[μs]),13325.0,12041.25
producer_io(max[μs]/avg[μs]),340017,315162.625
max/min throughput for single link(Mbps),13.709992528054073,13.182481799936065
throughput(Mbps),92.27737259955245,based on bw=100Mbps
ultilization,0.9227737259955245,92.27737259955245%
consumer io percentage,0.00043914142496037016,0.04391414249603701%
producer io percentage,0.011205669785422152,1.1205669785422152%
