consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,9.09684,16.3285,15.4664
con1,9.43107,,16.3391,15.4464
con2,17.5387,15.6156,,9.49615
con3,17.8057,17.3193,8.7989,
