time	cwndsize
0.00243095	11
0.00310187	12
0.00377342	13
0.00450547	14
0.00519196	15
0.0058732	16
0.00654934	17
0.00729449	18
0.0079306	19
0.0086824	20
0.00927548	21
0.00999241	22
0.010634	23
0.0113336	24
0.0120516	25
0.0126994	26
0.0133975	27
0.0140809	28
0.0147874	29
0.0155019	30
0.0161905	31
0.0168244	32
0.0175274	33
0.0182491	34
0.0189388	35
0.0196159	36
0.0203175	37
0.0209531	38
0.0216431	39
0.0224005	40
0.0230195	41
0.0237072	42
0.0243992	43
0.025084	44
0.0258211	45
0.0264447	46
0.0271837	47
0.0278312	48
0.0285732	49
0.0292088	50
0.0299629	51
0.0305787	52
0.0313281	53
0.0319693	54
0.0327161	55
0.0333376	56
0.0340575	57
0.0347709	58
0.035375	59
0.0360605	60
0.0368385	61
0.0376375	62
0.0382445	63
0.0391443	64
0.039754	65
0.0404157	66
0.041091	67
0.0417862	68
0.0425275	69
0.0432029	70
0.0438472	71
0.0445832	72
0.0452266	73
0.0459251	74
0.0467385	75
0.0472988	76
0.0479929	77
0.0486837	78
0.0494034	79
0.0500545	80
0.0507944	81
0.0514678	82
0.0521562	83
0.0528387	84
0.0534703	85
0.0542043	86
0.0548865	87
0.055627	88
0.0563082	89
0.0570798	90
0.0578022	91
0.0584069	92
0.0591933	93
0.0597919	94
0.0605154	95
0.0611504	96
0.0618212	97
0.062504	98
0.0631935	99
0.0638908	100
0.0645858	101
0.065285	102
0.0659616	103
0.0666719	104
0.0673987	105
0.0681137	106
0.0687685	107
0.0695758	108
0.070193	109
0.0708452	110
0.0715193	111
0.0722556	112
0.0728474	113
0.073591	114
0.0742308	115
0.0749641	116
0.0757834	117
0.0763089	118
0.0770493	119
0.0777168	120
0.0783963	121
0.0791529	122
0.0797437	123
0.0805045	124
0.0811156	125
0.0818472	126
0.0825504	127
0.0831987	128
0.0839376	129
0.0845799	130
0.0852658	131
0.0859886	132
0.0866268	133
0.0873277	134
0.0881219	135
0.0887095	136
0.089422	137
0.0901188	138
0.090867	139
0.0914528	140
0.0922135	141
0.0928707	142
0.0934965	143
0.0941827	144
0.0948714	145
0.0956312	146
0.0963332	147
0.0970235	148
0.0977487	149
0.0984212	150
0.0990594	151
0.0997578	152
0.100606	153
0.101157	154
0.101843	155
0.102513	156
0.103192	157
0.103886	158
0.104637	159
0.10525	160
0.105991	161
0.106731	162
0.10732	163
0.10799	164
0.108685	165
0.109366	166
0.110158	167
0.110801	168
0.111447	169
0.112135	170
0.112836	171
0.113489	172
0.114173	173
0.114891	174
0.115559	175
0.116276	176
0.116946	177
0.117636	178
0.118357	179
0.119329	180
0.119758	181
0.120453	182
