consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,11.1224,14.4805,14.1096
con1,10.2294,,14.8038,14.1139
con2,13.3735,14.1694,,12.0651
con3,13.3775,14.1709,11.8143,
