host,hit,cold_miss,suppress_miss,retry_miss
client0,1310,30113,50,0
client1,1306,30237,30,0
client2,374,34775,1,0
client3,1179,30310,27,0
s0,3130,41919,2574,5469
s1,4289,41058,3690,7962
s2,2091,30375,1010,6468
