consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,9.84279,13.207,15.0268
con1,10.6222,,13.1959,15.0412
con2,14.8006,13.9259,,11.244
con3,14.6,13.8459,11.7777,
