host,hit,cold_miss,suppress_miss,retry_miss
client0,950,675821,15,89
client1,5908,618325,75,79
client2,370,666881,8,60
client3,8708,655802,192,158
s0,16290,908768,96729,44703
s1,17510,908428,119003,51639
s2,40025,664812,7066,33226
