consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,61.4218,87.4487,85.5167
con1,60.9608,,87.4489,85.5166
con2,84.1441,78.9645,,57.1731
con3,84.1428,78.9718,60.5789,
