segment	rtt	rttvar	srtt	rto
0	362.792	181.396	362.792	1813.96
1	363.929	172.383	362.82	1741.88
2	365.486	165.311	362.876	1685.37
3	366.413	158.571	362.949	1631.52
4	367.463	153.069	363.03	1587.58
5	369.044	147.817	363.137	1545.67
6	371.324	143.453	363.265	1510.89
7	373.12	139.278	363.419	1477.65
8	374.527	135.718	363.574	1449.32
9	374.589	132.254	363.727	1421.76
10	22.2928	137.484	359.459	1459.33
11	25.6107	142.393	355.286	1494.43
12	26.6185	146.626	351.551	1524.56
13	27.7646	150.653	347.871	1553.09
14	28.4125	154.169	344.544	1577.9
15	29.1483	157.528	341.258	1601.48
16	30.0809	160.483	338.266	1622.13
17	30.1311	163.323	335.303	1641.88
18	33.3041	165.799	332.607	1659
19	33.8123	168.174	329.939	1675.33
20	33.1127	170.318	327.466	1690.01
21	36.2159	172.334	325.038	1703.71
22	37.5907	174.132	322.793	1715.85
23	37.7591	175.865	320.566	1727.49
24	38.4194	177.428	318.491	1737.92
25	39.6482	178.919	316.441	1747.8
26	40.221	180.271	314.523	1756.69
27	40.712	181.57	312.621	1765.18
28	41.7704	182.745	310.839	1772.8
29	42.1097	183.876	309.071	1780.08
30	50.6096	184.808	307.456	1785.92
31	50.6952	185.708	305.851	1791.51
32	53.1129	186.506	304.347	1796.39
33	54.5418	187.259	302.86	1800.93
34	56.7847	187.928	301.462	1804.88
35	62.0531	188.513	300.102	1808.2
36	62.7486	189.044	298.812	1811.16
37	64.2651	189.538	297.537	1813.84
38	64.236	189.994	296.322	1816.27
39	64.8781	190.426	295.116	1818.52
40	65.4915	190.818	293.968	1820.51
41	65.5785	191.194	292.826	1822.37
42	66.8236	191.528	291.74	1823.97
43	68.7036	191.831	290.667	1825.32
44	69.493	192.103	289.643	1826.47
45	72.2866	192.337	288.637	1827.33
46	71.0568	192.562	287.666	1828.16
47	73.611	192.754	286.71	1828.74
48	73.7276	192.928	285.792	1829.22
49	74.8784	193.083	284.883	1829.55
50	76.3811	193.212	284.014	1829.71
51	77.3036	193.324	283.153	1829.75
52	74.4277	193.449	282.311	1829.9
53	78.7459	193.53	281.491	1829.73
54	75.2883	193.629	280.685	1829.72
55	76.2411	193.714	279.886	1829.6
56	79.9508	193.761	279.129	1829.22
57	81.4947	193.79	278.381	1828.7
58	79.4448	193.828	277.649	1828.27
59	83.3224	193.832	276.935	1827.59
60	83.3655	193.83	276.243	1826.88
61	83.5364	193.822	275.555	1826.13
62	116.575	193.58	275.003	1823.64
63	119.894	193.313	274.465	1820.97
64	120.258	193.048	273.944	1818.33
65	126.067	192.743	273.444	1815.39
66	126.101	192.445	272.959	1812.52
67	126.897	192.139	272.479	1809.59
