host,hit,cold_miss,suppress_miss,retry_miss
client0,17443,644267,622,257
client1,17170,608234,452,167
client2,3743,713738,55,178
client3,4874,649809,133,128
s0,40346,922218,63635,53150
s1,54368,920823,69293,102558
s2,30238,690615,11836,70284
