consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,9.48265,16.9477,16.8008
con1,8.44178,,17.0709,16.7881
con2,14.6166,15.3373,,10.4635
con3,15.5724,15.3426,9.48101,
