I/O stats: 100 calls, 103 μs total, 1 μs avg
I/O stats: 200 calls, 208 μs total, 1 μs avg
I/O stats: 300 calls, 308 μs total, 1 μs avg
I/O stats: 400 calls, 394 μs total, 0 μs avg
Received congestion mark, value = 1, new cwnd = 148
I/O stats: 500 calls, 489 μs total, 0 μs avg
I/O stats: 600 calls, 579 μs total, 0 μs avg
Received congestion mark, value = 1, new cwnd = 146
I/O stats: 700 calls, 921 μs total, 1 μs avg
I/O stats: 800 calls, 1012 μs total, 1 μs avg
I/O stats: 900 calls, 1097 μs total, 1 μs avg
I/O stats: 1000 calls, 1182 μs total, 1 μs avg
Received congestion mark, value = 1, new cwnd = 74.99
I/O stats: 1100 calls, 1263 μs total, 1 μs avg
I/O stats: 1200 calls, 1349 μs total, 1 μs avg
Received congestion mark, value = 1, new cwnd = 73.9898
I/O stats: 1300 calls, 1431 μs total, 1 μs avg
Received congestion mark, value = 1, new cwnd = 38.4491
I/O stats: 1400 calls, 1537 μs total, 1 μs avg
I/O stats: 1500 calls, 1646 μs total, 1 μs avg
Received congestion mark, value = 1, new cwnd = 37.9484
