consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,11.4071,15.3671,14.4436
con1,10.2672,,13.8706,16.0281
con2,12.9622,14.1914,,10.8789
con3,12.9582,14.1977,10.6425,
