consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,9.18157,14.9283,15.486
con1,10.0326,,14.9272,14.8548
con2,14.0641,13.2749,,9.31519
con3,14.0692,13.2775,9.15156,
