host,hit,cold_miss,suppress_miss,retry_miss
client0,162,33003,2,0
client1,879,31332,45,0
client2,642,30383,29,0
client3,40,36079,0,0
s0,1819,45814,3599,3240
s1,1529,45885,5376,3292
s2,870,33848,707,3458
