I/O stats: 100 calls, 84 μs total, 0 μs avg
I/O stats: 200 calls, 159 μs total, 0 μs avg
Received congestion mark, value = 1, new cwnd = 140
I/O stats: 300 calls, 235 μs total, 0 μs avg
I/O stats: 400 calls, 285 μs total, 0 μs avg
I/O stats: 500 calls, 345 μs total, 0 μs avg
Received congestion mark, value = 1, new cwnd = 70.9894
I/O stats: 600 calls, 396 μs total, 0 μs avg
I/O stats: 700 calls, 484 μs total, 0 μs avg
Received congestion mark, value = 1, new cwnd = 36.4463
Received congestion mark, value = 1, new cwnd = 19.1456
