time	cwndsize
0.240787	11
0.241213	12
0.242367	13
0.242677	14
0.24344	15
0.244181	16
0.244796	17
0.24547	18
0.246148	19
0.246887	20
0.247544	21
0.248214	22
0.248924	23
0.249673	24
0.250388	25
0.251378	26
0.252198	27
0.25241	28
0.25317	29
0.254016	30
0.254701	31
0.255685	32
0.256047	33
0.25664	34
0.257799	35
0.25832	36
0.259983	37
0.260621	38
0.262117	39
0.262733	40
0.264095	41
0.264922	42
0.266576	43
0.266774	44
0.269284	45
0.270803	46
0.272852	47
0.273729	48
0.274414	49
0.275737	50
0.278704	51
0.28056	52
0.281874	53
0.28418	54
0.284728	55
0.285363	56
0.286098	57
0.28699	58
0.287693	59
0.288784	60
0.291045	61
0.293837	62
0.295736	63
0.297677	64
0.299055	65
0.300568	66
0.301168	67
0.301925	68
0.302674	69
0.303279	70
0.303981	71
0.306708	72
0.308279	73
0.310102	74
0.311546	75
0.31381	76
0.315661	77
0.316281	78
0.317041	79
0.318573	80
0.319592	81
0.321815	82
0.323953	83
0.32521	84
0.327319	85
0.328006	86
0.329295	87
0.330828	88
0.331601	89
0.333512	90
0.334399	91
0.335613	92
0.336417	93
0.337503	94
0.338245	95
0.341958	96
0.343052	97
0.344511	98
0.345212	99
0.345791	100
0.347188	101
0.347925	102
0.350188	103
0.351428	104
0.353422	105
0.354066	106
0.354723	107
0.355371	108
0.357803	109
0.359516	110
0.36021	111
0.360902	112
0.362299	113
0.363779	114
0.364324	115
0.366388	116
0.367818	117
0.370746	118
0.372781	119
0.374171	120
0.375381	121
0.376121	122
0.380153	123
0.381533	124
0.386282	125
0.387709	126
0.388431	127
0.390315	128
0.391177	129
0.392454	130
0.393392	131
0.395324	132
0.396766	133
0.398177	134
0.398825	135
0.399772	136
0.403674	137
0.406528	138
0.410639	139
0.412488	140
0.413156	141
0.415905	142
0.416602	143
0.417311	144
0.420147	145
0.422946	146
0.423363	147
0.424643	148
0.42682	149
0.429192	150
0.430006	151
0.431127	152
0.438783	153
0.440087	154
0.440713	155
0.443038	156
0.44418	157
0.446298	158
0.448166	159
0.449471	160
0.45226	161
0.453607	162
0.455	163
0.457108	164
0.459264	165
0.460717	166
0.46206	167
0.466789	168
0.46754	169
0.468926	170
0.470421	171
0.472061	172
0.472469	173
0.473751	174
0.474479	175
0.476519	176
0.478797	177
0.47998	178
0.481314	179
0.486158	180
0.488897	181
0.492424	182
0.494368	183
0.495041	184
0.497789	185
0.499185	186
0.502191	187
0.505393	188
0.508979	189
0.515022	190
0.516454	191
0.519117	192
0.522021	193
0.526649	194
0.534929	195
0.536332	196
0.537682	197
0.539709	198
0.542455	199
0.543095	200
0.545303	201
0.548719	202
0.549955	203
0.553522	204
0.554137	205
0.558297	206
0.559008	207
0.559688	103.5
0.560393	103.51
0.561033	103.519
0.562404	103.529
0.563769	103.539
0.565245	103.549
0.565841	103.558
0.568002	103.568
0.568566	103.578
0.569417	103.587
0.569946	103.597
0.571339	103.607
0.571993	103.617
0.57344	103.626
0.574758	103.636
0.578176	103.646
0.579638	103.655
0.582088	103.665
0.584453	103.675
0.586765	103.684
0.58801	103.694
0.589357	103.704
