host,hit,cold_miss,suppress_miss,retry_miss
client0,586,32930,0,1
client1,526,34716,0,10
client2,1702,29202,0,0
client3,587,30804,0,20
s0,7283,47327,2006,3122
s1,3849,47231,804,1662
s2,1406,38569,103,1441
