consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,13.6863,12.4399,13.3612
con1,13.6407,,12.9183,13.3868
con2,13.2138,15.1707,,10.3737
con3,14.3448,14.7568,11.3709,
