consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,13.0955,12.9728,12.928
con1,13.0451,,12.9569,12.8591
con2,13.1181,13.1505,,12.7559
con3,13.1661,13.1877,12.8522,
