host,hit,cold_miss,suppress_miss,retry_miss
client0,966,24416,0,0
client1,846,24416,0,0
client2,1367,24416,0,185
client3,706,24416,0,43
s0,18600,24416,3869,3200
s1,18345,24416,3366,3800
s2,562,24416,238,2236
