time	cwndsize
0.495755	11
0.499397	12
0.506223	13
0.511684	14
0.514795	15
0.518574	16
0.523261	17
0.527984	18
0.532178	19
0.535611	20
0.746839	21
0.765861	10.5
0.768499	10.6
0.772237	10.7
0.772377	10.8
0.772969	10.9
0.778364	11
0.778396	11.1
0.778446	11.1909
0.778462	11.2818
0.785698	11.3727
0.785727	11.4636
0.785757	11.5545
0.785776	11.6455
0.788688	11.7364
0.78873	11.8273
0.810234	11.9182
0.810723	12.0091
0.816417	12.0924
0.818701	12.1758
0.97179	12.2591
0.987267	12.3424
1.00276	12.4258
1.01446	12.5091
1.01898	12.5924
1.0387	12.6758
1.04142	12.7591
1.05243	12.8424
1.05333	12.9258
1.05696	13.0091
1.05736	13.086
1.08965	13.1629
1.24446	13.2399
1.26583	13.3168
1.27198	13.3937
1.28708	13.4706
1.28799	6.73531
1.33088	6.90198
1.33136	7.06865
1.33153	7.21151
1.33166	7.35436
1.33178	7.49722
1.38518	7.64008
1.38559	7.78293
1.41811	7.92579
1.54055	8.06865
1.5452	8.19365
1.55214	8.31865
1.5766	8.44365
1.61748	8.56865
1.61777	8.69365
1.70817	8.81865
1.79756	8.94365
1.80126	9.06865
1.80656	9.17976
1.82481	9.29087
1.85088	9.40198
1.8685	9.51309
1.86937	9.6242
1.9112	9.73531
1.97189	9.84643
1.97214	9.95754
1.97246	10.0686
1.98881	10.1686
1.99325	10.2686
2.01641	10.3686
2.0482	10.4686
2.04842	10.5686
2.07046	10.6686
2.09233	10.7686
2.09372	10.8686
2.09728	10.9686
2.09804	11.0686
2.09813	11.1596
2.10334	11.2505
2.11997	11.3414
2.13797	11.4323
2.13947	11.5232
2.16513	11.6141
2.17891	11.705
2.17934	11.7959
2.17951	11.8868
2.17991	11.9777
2.18348	12.0686
2.18354	12.152
2.19839	12.2353
2.20508	12.3186
2.21689	12.402
2.21703	12.4853
2.23542	12.5686
2.25723	12.652
2.25966	12.7353
2.26002	12.8186
2.26662	12.902
2.26851	12.9853
2.26886	13.0686
2.27125	13.1456
2.27349	13.2225
