consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,10.0082,17.1654,16.9462
con1,8.88276,,15.0703,17.1341
con2,15.4104,13.5116,,10.4906
con3,14.686,13.5114,11.7117,
