consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,12.7555,13.4969,11.1399
con1,12.793,,13.4999,11.1641
con2,13.5684,12.1091,,12.8041
con3,13.3671,12.1345,12.8135,
