host,hit,cold_miss,suppress_miss,retry_miss
client0,330,34066,4,0
client1,1068,30083,28,0
client2,170,36281,5,5
client3,21,36012,0,0
s0,1253,51458,375,1769
s1,1565,51505,3542,4221
s2,1291,39768,397,2672
