consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,8.82793,18.4152,13.8296
con1,8.07001,,17.1648,18.1932
con2,14.8117,12.451,,9.9984
con3,14.8166,12.4519,9.57807,
