consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,9.95993,16.8217,15.3543
con1,8.95488,,15.1302,17.252
con2,15.9604,14.4874,,9.29418
con3,14.9587,14.4865,10.3187,
