host,hit,cold_miss,suppress_miss,retry_miss
client0,267,35839,3,0
client1,1326,30238,38,0
client2,367,35452,5,0
client3,373,35405,2,0
s0,1027,52937,453,2117
s1,1099,51995,3797,3641
s2,459,41426,346,2392
