time	cwndsize
0.279413	11
0.281644	12
0.282969	13
0.284349	14
0.285727	15
0.287128	16
0.290142	17
0.290288	18
0.291349	19
0.292596	20
0.347581	21
0.348208	22
0.351018	23
0.352381	24
0.353762	25
0.355139	26
0.357192	27
0.358603	28
0.359266	29
0.360629	30
0.361323	31
0.362702	32
0.363802	33
0.364126	34
0.365501	35
0.367326	36
0.369384	37
0.3708	38
0.371456	39
0.372851	40
0.448752	41
0.450102	42
0.45149	43
0.452187	44
0.455716	45
0.456425	46
0.457772	47
0.459102	48
0.460554	49
0.461895	50
0.462634	51
0.463382	52
0.464033	53
0.464735	54
0.466042	55
0.467415	56
0.470001	57
0.470503	58
0.471183	59
0.472564	60
0.47396	61
0.475411	62
0.476701	63
0.478109	64
0.48362	65
0.484987	66
0.486359	67
0.487727	68
0.488411	69
0.489139	70
0.490482	71
0.491881	72
0.493248	73
0.494634	74
0.495267	75
0.495974	76
0.498033	77
0.498712	78
0.50008	79
0.500833	80
0.619168	81
0.620502	82
0.62189	83
0.622585	84
0.62327	85
0.624052	86
0.624636	87
0.625334	88
0.628773	89
0.630513	90
0.631534	91
0.632922	92
0.63433	93
0.63498	94
0.635654	95
0.636381	96
0.637725	97
0.639207	98
0.639852	99
0.640604	100
0.641218	101
0.641935	102
0.643985	103
0.645337	104
0.646024	105
0.647405	106
0.648121	107
0.64887	108
0.650079	109
0.650185	110
0.650893	111
0.651552	112
0.652244	113
0.652964	114
0.653662	115
0.654321	116
0.654994	117
0.655716	118
0.656449	119
0.657223	120
0.661213	121
0.662584	122
0.663968	123
0.664624	124
0.665353	125
0.666702	126
0.668429	127
0.669427	128
0.670946	129
0.672356	130
0.672958	131
0.673689	132
0.674338	133
0.67513	134
0.675777	135
0.676474	136
0.67782	137
0.679402	138
0.680739	139
0.682093	140
0.682862	141
0.683487	142
0.684877	143
0.686313	144
0.686984	145
0.687637	146
0.689012	147
0.691765	148
0.69314	149
0.693841	150
0.694475	151
0.695846	152
0.696575	153
0.697235	154
0.698635	155
0.700007	156
0.701401	157
0.702751	78.5
0.70414	78.5128
0.70548	78.5256
0.747424	78.5385
0.748121	78.5513
0.748828	78.5641
0.749482	78.5769
0.750921	78.5897
0.751541	78.6026
0.752997	78.6154
0.753026	78.6282
0.753626	78.641
0.754281	78.6538
0.75566	78.6667
0.756326	78.6795
0.757046	78.6923
0.757724	78.7051
0.758401	78.7179
0.759136	78.7308
0.764673	78.7436
0.765377	78.7564
0.766738	78.7692
0.767451	78.7821
0.768104	78.7949
0.768778	78.8077
0.769464	78.8205
0.770157	78.8333
0.770892	78.8462
0.771525	78.859
0.772229	78.8718
0.772905	78.8846
0.773586	78.8974
0.774275	78.9103
0.775032	78.9231
0.775644	78.9359
0.77704	78.9487
0.778393	78.9615
0.778426	78.9744
0.779159	78.9872
0.779837	79
0.780511	79.0128
0.781175	79.0255
0.781875	79.0381
0.782591	79.0508
0.783252	79.0635
0.783935	79.0761
0.784619	79.0888
0.786095	79.1014
0.787485	79.1141
0.788176	79.1267
0.788862	79.1394
0.789597	79.1521
0.79022	79.1647
0.790939	79.1774
0.791629	79.19
0.792369	79.2027
0.793043	79.2154
0.79367	79.228
0.794322	79.2407
0.795021	79.2533
0.795737	79.266
0.796393	79.2786
0.797062	79.2913
0.797747	79.304
0.798436	79.3166
0.799134	79.3293
0.799809	79.3419
0.800527	79.3546
0.801192	79.3673
0.801901	79.3799
0.802568	79.3926
0.803239	79.4052
0.804447	79.4179
0.805397	79.4305
0.806034	79.4432
0.8074	79.4559
0.808785	79.4685
0.809499	79.4812
0.810139	79.4938
0.811499	79.5065
0.812192	79.5191
0.812885	79.5318
0.81424	79.5445
0.81562	79.5571
0.817072	79.5698
0.817113	79.5824
0.817674	79.5951
0.81836	79.6078
0.819749	79.6204
0.821174	79.6331
0.821797	79.6457
0.822549	79.6584
0.823861	79.671
0.824552	79.6837
0.8265	79.6964
0.828564	79.709
0.829253	79.7217
0.830713	79.7343
0.83133	79.747
0.832014	79.7597
0.833449	79.7723
