consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,9.80356,14.7521,13.4669
con1,9.74631,,14.6698,13.4544
con2,17.2976,16.5773,,8.06876
con3,16.4337,16.57,10.2388,
