host,hit,cold_miss,suppress_miss,retry_miss
client0,2525,74818,0,1242
client1,2332,74007,0,1284
client2,2383,75280,0,1450
client3,2524,71516,0,1269
client4,1487,73076,0,1306
client5,936,80438,1,1195
client6,1942,70648,0,1295
client7,2126,73333,1,1463
s0,7236,122491,6441,11191
s1,5113,123189,7298,9803
s2,8441,175571,6437,20134
s3,3487,134363,3805,6857
s4,3863,128443,2394,6973
s5,10987,177710,9314,19296
s6,2836,141672,367,16646
