consumer/producer(seconds),pro0,pro1,pro2,pro3,pro4,pro5,pro6,pro7
con0,,21.1069,25.1279,23.9232,36.2549,37.1652,32.5091,29.9392
con1,20.7847,,26.1917,23.921,35.3964,36.802,33.1658,29.9376
con2,27.6782,26.5848,,19.0216,33.9064,36.5035,28.1544,35.5945
con3,27.572,26.592,19.525,,33.8909,36.4878,28.1397,31.9205
con4,30.3859,34.3005,32.8041,35.2143,,17.7619,25.7859,29.5141
con5,34.4314,33.5594,32.795,33.6612,19.0152,,29.664,28.3631
con6,30.3881,33.1665,35.4727,35.2053,22.6243,25.9835,,17.2972
con7,35.6059,34.304,34.4055,32.7583,22.6216,27.5951,15.8158,
