consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,10.6552,16.4506,15.0679
con1,9.16807,,15.2575,16.4707
con2,13.7681,13.285,,10.0717
con3,13.7742,13.2829,10.2973,
