host,hit,cold_miss,suppress_miss,retry_miss
client0,11056,654641,295,188
client1,6990,695524,186,256
client2,5926,705838,236,86
client3,1625,723524,16,60
s0,21848,1077099,10236,33843
s1,27781,1078064,45605,51603
s2,12335,839478,6590,41219
