consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,9.5856,16.961,16.888
con1,8.5714,,16.9617,17.1741
con2,16.186,13.9997,,9.13443
con3,15.2717,14.0024,10.5615,
