host,hit,cold_miss,suppress_miss,retry_miss
client0,86,33743,2,0
client1,1460,30284,21,0
client2,503,32614,1,0
client3,198,35888,0,0
s0,2619,47621,2286,2979
s1,1148,47526,4000,5033
s2,1095,35878,548,4086
