consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,8.71322,14.752,15.693
con1,10.2757,,14.7513,14.866
con2,14.8756,13.7429,,9.19842
con3,14.8748,13.7387,10.0889,
