client,io_time(μs)
0,14934.0
1,13894.0
2,14681.0
3,13449.0
4,13952.0
5,15728.0
6,15234.0
7,16354.0
8,14175.0
9,14962.0
10,16310.0
11,14352.0
12,14505.0
13,14639.0
14,16369.0
15,14558.0
