time	cwndsize
0.28997	11
0.291327	12
0.292697	13
0.294046	14
0.295447	15
0.296829	16
0.298203	17
0.300969	18
0.302374	19
0.304434	20
0.307166	21
0.309207	22
0.315467	23
0.31617	24
0.3189	25
0.320295	26
0.322397	27
0.32305	28
0.324426	29
0.325785	30
0.327182	31
0.328518	32
0.332003	33
0.333373	34
0.334776	35
0.335479	36
0.337543	37
0.339607	38
0.341655	39
0.343696	40
0.347173	41
0.347867	42
0.349946	43
0.352036	44
0.363793	45
0.36582	46
0.367887	47
0.36994	48
0.37558	49
0.376208	50
0.377627	51
0.378311	52
0.380422	53
0.38108	54
0.382467	55
0.383802	56
0.385294	57
0.38727	58
0.388647	59
0.390101	60
0.392056	61
0.393465	62
0.39553	63
0.396243	64
0.398308	65
0.399673	66
0.401062	67
0.40188	68
0.40456	69
0.405934	70
0.406632	71
0.407362	72
0.412198	73
0.412915	74
0.414992	75
0.41568	76
0.419836	77
0.421914	78
0.422569	79
0.424154	80
0.429804	81
0.43123	40.5
0.431861	40.525
0.432539	40.55
0.435362	40.575
0.436028	40.6
0.438828	40.625
0.440177	40.65
0.464459	40.675
0.465822	40.7
0.467964	40.725
0.4687	40.75
0.470045	40.775
0.471488	40.8
0.472812	40.825
0.474195	40.85
0.474875	40.875
0.475624	40.9
0.476261	40.925
0.476968	40.95
0.47765	40.975
0.478338	41
0.479939	41.025
0.48131	41.0494
0.48406	41.0738
0.486101	41.0982
0.492284	41.1226
0.494416	41.147
0.495072	41.1713
0.497156	41.1957
0.498527	41.2201
0.499916	41.2445
0.501958	41.2689
0.504014	41.2933
0.507462	41.3177
0.508806	41.3421
0.510979	41.3665
0.512295	41.3909
0.513008	41.4152
0.514416	41.4396
0.516029	41.464
0.517215	41.4884
0.518653	41.5128
0.519979	41.5372
0.522036	41.5616
0.522751	41.586
0.524789	41.6104
0.525511	41.6348
0.526911	41.6591
0.528364	41.6835
0.52897	41.7079
0.529642	41.7323
0.531069	41.7567
0.533135	41.7811
0.53383	41.8055
0.538763	41.8299
0.539433	41.8543
0.540196	41.8787
0.540866	41.903
0.541551	41.9274
0.542288	41.9518
0.544523	41.9762
0.545197	42.0006
0.555789	42.0244
0.556487	42.0482
0.55715	42.072
0.557906	42.0958
0.558549	42.1197
0.559252	42.1435
0.560741	42.1673
0.561456	42.1911
0.56549	42.2149
0.56686	42.2387
0.568253	42.2625
0.569616	42.2863
0.570999	42.3101
0.572374	42.3339
0.573795	42.3578
0.575176	42.3816
0.583736	42.4054
0.584472	42.4292
0.594837	42.453
0.596883	42.4768
0.659747	42.5006
0.660295	42.5244
0.662376	42.5482
0.663064	42.572
0.663765	42.5958
0.66513	42.6197
0.666705	42.6435
0.667318	42.6673
0.667991	21.3336
0.670049	21.3813
0.673563	21.4289
0.675011	21.4765
0.676331	21.5241
0.698495	21.5717
0.700593	21.6194
0.726263	21.667
0.732405	21.7146
0.73448	21.7622
0.736521	21.8098
0.742287	21.8574
0.742984	21.9051
0.743691	21.9527
0.755835	22.0003
0.756547	22.0458
0.757211	22.0912
0.757876	22.1367
0.758612	22.1821
0.759308	22.2276
0.760075	22.273
0.760787	22.3185
0.761422	22.3639
0.762143	22.4094
0.76282	22.4549
0.763512	22.5003
0.764195	22.5458
0.766291	22.5912
0.766961	22.6367
0.767632	22.6821
0.824964	22.7276
0.831287	22.773
0.836098	22.8185
0.837461	22.8639
0.895412	22.9094
0.896724	22.9549
0.899532	23.0003
0.9086	23.0438
0.909952	23.0873
0.911345	23.1307
0.913018	23.1742
0.914151	23.2177
0.931322	23.2612
0.931986	23.3047
0.934121	23.3481
0.938871	23.3916
0.939526	23.4351
0.974631	23.4786
0.976015	23.522
0.984193	23.5655
0.991758	23.609
0.993795	23.6525
0.997219	23.696
1.00957	23.7394
1.01165	23.7829
1.01376	23.8264
1.074	23.8699
1.07745	23.9133
1.08086	23.9568
1.08639	24.0003
1.0891	24.042
1.09323	24.0836
1.10491	24.1253
1.10835	24.167
1.10974	24.2086
1.11039	24.2503
1.11109	24.292
1.11176	24.3336
1.11245	24.3753
1.11592	24.417
1.11725	24.4586
1.11929	24.5003
1.16357	24.542
1.16573	24.5836
1.16783	24.6253
1.16989	24.667
1.17196	24.7086
1.17401	24.7503
1.17609	24.792
1.26928	24.8336
1.27546	24.8753
1.2814	24.917
1.2828	24.9586
1.28487	25.0003
1.28621	25.0403
1.28758	25.0803
1.29247	25.1203
1.29316	25.1603
1.29388	25.2003
1.29462	25.2403
1.29796	25.2803
1.2981	25.3203
1.29819	25.3603
1.29825	25.4003
1.29845	25.4403
1.2991	25.4803
1.30458	25.5203
1.30599	25.5603
1.30663	25.6003
1.32183	25.6403
1.32381	25.6803
1.32661	25.7203
1.32934	25.7603
1.37081	25.8003
1.3938	25.8403
1.40623	25.8803
1.40828	25.9203
1.41029	25.9603
1.41096	26.0003
1.41234	26.0388
1.44589	26.0772
1.44797	26.1157
1.44999	26.1542
1.45068	26.1926
1.45146	26.2311
1.47181	26.2695
1.4725	26.308
1.47316	26.3465
1.47503	26.3849
1.47557	26.4234
1.47698	26.4618
1.47833	26.5003
1.47901	26.5388
1.4804	26.5772
1.48109	26.6157
1.48243	26.6542
1.4838	26.6926
1.48521	26.7311
1.48739	26.7695
1.49294	26.808
1.49432	26.8465
1.49663	26.8849
1.49801	26.9234
1.50005	26.9618
1.50236	27.0003
1.5037	27.0373
1.52948	27.0744
1.53354	27.1114
1.53727	27.1485
1.53927	27.1855
1.54434	27.2225
1.56648	27.2596
1.56675	27.2966
1.56812	27.3336
1.56952	27.3707
1.57087	27.4077
1.57227	27.4447
1.57363	27.4818
1.57507	27.5188
1.57646	27.5559
1.57786	27.5929
1.58139	27.6299
1.58328	27.667
1.58503	27.704
1.58755	27.741
1.59256	27.7781
1.59427	27.8151
1.59606	27.8522
1.59806	27.8892
1.59884	27.9262
1.59946	27.9633
1.60088	28.0003
1.60276	28.036
1.61516	14.018
1.61654	14.0894
1.62	14.1609
1.62139	14.2323
1.62625	14.3037
1.63191	14.3752
1.63262	14.4466
1.63397	14.518
1.63469	14.5894
1.63606	14.6609
1.63677	14.7323
1.63815	14.8037
1.63883	14.8752
1.64106	14.9466
1.64177	15.018
1.65237	15.0847
1.65378	15.1513
1.65541	15.218
1.65905	15.2847
1.66268	15.3513
1.66704	15.418
1.66967	15.4847
1.67172	15.5513
1.67458	15.618
1.67667	15.6847
1.67737	15.7513
1.67872	15.818
1.68012	15.8847
1.73903	15.9513
1.74109	16.018
1.74761	16.0805
