host,hit,cold_miss,suppress_miss,retry_miss
client0,2879,64057,0,614
client1,1744,72410,0,623
client2,2910,63145,0,608
client3,2698,66261,0,823
client4,2748,62652,0,232
client5,3866,62115,0,232
client6,2069,71059,3,345
client7,2377,69053,0,771
s0,12830,100053,8969,12861
s1,9326,104982,3113,10456
s2,12234,143775,5578,20386
s3,26690,79417,8709,14153
s4,11767,113781,2946,9240
s5,17864,135476,8414,21440
s6,3350,117782,362,15682
