consumer/producer(seconds),pro0,pro1,pro2,pro3,pro4,pro5,pro6,pro7
con0,,24.7661,25.8393,24.5574,31.24,25.1628,32.837,33.0869
con1,23.7254,,25.8176,24.5189,32.9786,25.1365,32.844,31.0137
con2,25.5417,28.0882,,23.5564,22.6464,25.2114,33.4478,31.0168
con3,25.5417,26.7202,22.5788,,22.6516,32.632,33.3946,30.4742
con4,27.2331,29.1594,30.7498,29.5352,,25.2098,29.7918,27.6271
con5,29.8208,29.8034,30.7443,29.548,26.1251,,29.7868,27.6332
con6,27.1345,33.5311,26.112,30.3925,23.0742,27.3006,,26.1621
con7,31.9998,29.0826,26.0892,32.5804,22.5867,26.0626,22.1861,
