host,hit,cold_miss,suppress_miss,retry_miss
client0,1699,77882,44,10
client1,1421,75712,46,10
client2,1734,76269,52,9
client3,1789,73808,29,9
client4,1787,71751,31,9
client5,1196,79868,40,17
client6,1429,77848,36,10
client7,2055,74477,27,10
s0,4911,128302,5551,8979
s1,5142,126028,4746,9344
s2,7364,183669,5492,20766
s3,4063,129597,4301,7687
s4,4060,135450,2259,6072
s5,8225,188642,4327,19352
s6,1642,151048,451,14620
