host,hit,cold_miss,suppress_miss,retry_miss
client0,16413,621932,500,60
client1,8353,649384,249,60
client2,21501,609809,709,273
client3,1510,670600,27,271
s0,48787,846529,106625,81115
s1,40317,849250,95383,94855
s2,23466,607944,14684,89461
