host,hit,cold_miss,suppress_miss,retry_miss
client0,132,34317,0,0
client1,3,35902,0,0
client2,34,36283,0,0
client3,1182,33677,34,0
s0,938,57086,267,712
s1,1361,54989,1719,2547
s2,569,45310,78,1061
