consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,8.42528,17.0248,16.6621
con1,9.07158,,17.9365,12.9434
con2,17.4593,17.7195,,8.30399
con3,17.4597,17.7158,8.1635,
