segment	rtt	rttvar	srtt	rto
0	726.187	363.093	726.187	3630.93
1	726.213	344.94	726.187	3485.71
2	726.413	330.577	726.192	3370.81
3	726.44	316.813	726.197	3260.7
4	726.585	305.512	726.204	3170.3
5	726.643	294.617	726.212	3083.15
6	726.827	285.429	726.221	3009.66
7	726.889	276.53	726.232	2938.48
8	727.206	268.876	726.245	2877.25
9	727.226	261.435	726.259	2817.74
10	11.6459	272.764	717.326	2899.44
11	11.8758	283.581	708.508	2977.16
12	12.3297	292.958	700.597	3044.26
13	14.0635	301.903	692.796	3108.02
18	13.862	309.758	685.723	3163.79
19	13.8877	317.301	678.725	3217.14
20	14.2831	323.977	672.336	3264.15
21	15.1705	330.385	666.017	3309.09
26	15.7798	336.096	660.212	3348.98
27	17.0561	341.579	654.469	3387.11
28	17.8787	346.496	649.164	3421.14
29	17.9852	351.241	643.904	3453.83
30	21.5861	355.477	639.043	3482.86
25	3173.72	405.004	667.846	3907.88
24	3176.86	452.822	696.357	4318.94
23	3177.58	498.922	724.553	4715.93
22	3180.03	543.389	752.456	5099.57
31	3170.97	586.006	779.939	5467.99
33	3170.94	627.028	807.11	5823.34
32	3171	666.503	833.972	6165.99
17	3184.42	704.774	860.682	6498.87
16	3184.78	745.257	889.733	6851.79
48	3171.78	787.946	921.428	7224.99
49	3173.43	833.698	956.616	7626.2
56	1.20617	837.501	941.687	7641.7
57	1.39197	840.713	926.995	7652.7
58	1.27666	843.37	912.531	7659.49
59	4.07016	845.404	898.336	7661.57
60	8.06817	846.806	884.426	7658.87
62	16.3035	847.472	870.861	7650.64
63	16.4263	847.69	857.511	7639.03
64	4.49193	847.838	845.663	7628.36
65	4.39938	847.655	833.979	7615.22
66	4.41699	847.152	822.457	7599.68
67	0.89947	846.441	811.047	7582.58
69	0.931748	845.432	799.795	7563.25
70	0.752872	844.144	788.697	7541.85
71	0.71129	842.584	777.753	7518.42
72	0.716166	840.763	766.961	7493.07
73	0.747213	838.692	756.319	7465.86
74	0.417837	836.393	745.82	7436.96
75	0.454608	833.864	735.468	7406.38
76	0.832718	831.108	725.265	7374.13
77	1.07319	828.138	715.207	7340.31
68	4.03289	824.889	705.329	7304.44
78	1.99429	821.512	695.561	7267.66
79	2.38453	817.947	685.933	7229.51
80	2.57891	814.209	676.442	7190.11
83	3.41353	810.287	667.095	7149.39
84	3.52397	806.212	657.878	7107.57
85	1.95447	802.037	648.768	7065.06
86	1.94355	797.725	639.785	7021.59
87	1.4691	793.297	630.919	6977.3
88	1.38817	788.748	622.176	6932.16
89	1.28165	784.086	613.552	6886.24
90	1.32634	779.312	605.049	6839.54
81	9.51388	774.207	596.778	6790.43
14	3281.12	827.266	634.06	7252.19
15	3281.14	877.817	670.825	7693.36
82	8.9944	871.817	661.633	7636.17
91	0.574028	865.963	652.452	7580.15
92	0.532914	860.017	643.397	7523.53
93	0.59549	853.983	634.469	7466.33
94	0.605867	847.869	625.666	7408.62
95	0.4203	841.685	616.982	7350.46
96	0.479132	836.055	609.276	7297.72
97	0.41159	830.375	601.665	7244.67
98	0.50471	824.645	594.15	7191.31
99	0.522171	818.87	586.73	7137.69
100	0.546112	813.052	579.403	7083.82
101	0.37319	807.202	572.165	7029.78
102	0.388437	801.316	565.018	6975.55
103	0.384663	795.399	557.96	6921.15
104	0.409343	789.453	550.99	6866.61
105	0.315629	783.483	544.107	6811.97
106	0.323816	777.491	537.31	6757.24
107	0.334328	771.478	530.597	6702.42
108	0.356878	765.447	523.969	6647.55
109	0.356494	759.401	517.424	6592.63
110	0.367493	753.343	510.961	6537.7
111	0.36341	747.274	504.578	6482.77
112	0.373346	741.197	498.276	6427.85
113	0.414099	735.114	492.053	6372.96
114	0.43887	729.026	485.907	6318.12
115	0.433163	722.938	479.839	6263.34
116	0.410507	716.85	473.846	6208.65
117	0.449404	710.764	467.929	6154.04
118	0.518643	704.68	462.086	6099.52
119	0.561918	698.601	456.317	6045.12
120	0.57414	692.529	450.62	5990.86
121	0.559777	686.468	444.994	5936.74
122	0.719881	680.413	439.441	5882.74
123	0.744109	674.37	433.957	5828.92
124	0.762141	668.341	428.542	5775.27
125	0.894541	662.323	423.197	5721.78
126	1.01555	656.32	417.92	5668.48
127	1.06194	650.333	412.709	5615.37
128	1.19677	644.363	407.565	5562.47
129	1.19004	638.413	402.485	5509.79
130	1.19368	632.485	397.469	5457.35
131	1.2372	626.579	392.516	5405.14
132	1.01178	620.702	387.622	5353.24
133	1.01463	614.849	382.79	5301.58
134	1.00585	609.023	378.017	5250.2
135	0.915331	603.225	373.304	5199.1
136	0.736719	597.458	368.647	5148.31
137	0.722117	592.242	364.466	5102.4
138	0.512813	587.053	360.33	5056.76
139	0.506469	581.889	356.241	5011.35
140	0.503932	576.749	352.198	4966.19
141	0.495825	571.634	348.202	4921.28
142	0.516793	566.545	344.251	4876.61
143	0.897148	561.472	340.349	4832.13
144	1.02219	556.423	336.493	4787.88
145	1.03578	551.401	332.681	4743.89
146	0.981664	546.408	328.912	4700.18
147	1.29093	541.436	325.189	4656.67
148	1.28572	536.492	321.508	4613.44
149	1.47844	531.572	317.871	4570.45
150	1.4856	526.682	314.276	4527.73
151	1.64427	521.817	310.723	4485.26
152	1.68222	516.981	307.212	4443.06
153	1.85358	512.171	303.742	4401.11
154	1.44622	507.402	300.307	4359.52
155	1.37966	502.663	296.91	4318.22
156	1.41591	497.955	293.552	4277.19
157	1.45093	493.277	290.232	4236.44
158	1.47481	488.628	286.951	4195.98
159	1.44744	484.012	283.707	4155.8
160	1.27423	479.431	280.497	4115.94
161	1.33139	474.879	277.325	4076.36
162	1.40703	470.357	274.189	4037.05
163	1.37549	465.868	271.089	3998.03
164	1.34185	461.41	268.024	3959.31
165	1.50214	456.981	264.995	3920.84
166	1.60254	452.581	262.002	3882.65
167	1.65957	448.212	259.044	3844.74
168	1.85655	443.871	256.121	3807.09
169	1.80112	439.563	253.231	3769.73
170	2.00871	435.282	250.376	3732.64
171	2.15253	431.031	247.556	3695.8
172	2.16277	426.812	244.767	3659.26
173	2.09052	422.627	242.009	3623.03
174	1.98413	418.477	239.282	3587.1
175	2.00988	414.359	236.586	3551.46
176	1.89004	410.275	233.919	3516.12
177	1.75227	406.228	231.28	3481.1
178	1.87405	402.209	228.673	3446.34
179	1.84078	398.223	226.096	3411.88
180	1.63699	394.274	223.545	3377.74
181	1.7529	390.354	221.025	3343.86
182	1.58837	386.793	218.739	3313.08
183	1.51637	383.26	216.476	3282.56
184	1.60055	379.752	214.238	3252.26
185	1.79694	376.267	212.025	3222.16
186	1.77461	372.808	209.835	3192.3
187	1.83012	369.375	207.668	3162.67
188	1.9153	365.966	205.525	3133.25
189	2.04099	362.581	203.405	3104.05
190	1.9166	359.225	201.306	3075.1
191	1.93016	355.895	199.23	3046.39
192	2.10765	352.587	197.176	3017.87
193	1.82066	349.311	195.141	2989.63
194	2.02025	346.057	193.13	2961.59
195	2.04572	342.829	191.139	2933.77
196	1.96737	339.627	189.169	2906.19
197	1.91803	336.453	187.218	2878.84
198	1.96446	333.303	185.288	2851.71
199	1.94563	330.179	183.379	2824.81
200	1.93186	327.08	181.489	2798.13
201	1.87206	324.008	179.618	2771.68
202	1.75079	320.963	177.765	2745.47
203	1.5679	317.947	175.929	2719.51
204	1.59019	314.956	174.113	2693.76
205	1.39733	311.992	172.314	2668.25
206	1.27779	309.056	170.533	2642.98
207	1.10144	306.147	168.768	2617.94
208	1.12305	303.261	167.021	2593.11
209	1.08508	300.4	165.293	2568.5
210	1.02231	297.564	163.582	2544.1
211	0.735805	294.758	161.885	2519.95
212	0.660751	291.976	160.206	2496.01
213	0.635829	289.217	158.544	2472.28
214	0.645676	286.481	156.899	2448.75
215	0.587264	283.77	155.271	2425.43
216	0.546024	281.081	153.659	2402.31
217	0.603995	278.414	152.065	2379.38
218	0.603519	275.769	150.487	2356.64
219	0.617382	273.146	148.926	2334.1
220	0.618355	270.545	147.381	2311.74
221	0.669651	267.966	145.853	2289.58
222	0.652245	265.408	144.34	2267.6
223	0.651829	262.872	142.843	2245.82
224	0.647269	260.358	141.362	2224.23
225	0.712591	257.864	139.897	2202.81
226	0.663834	255.393	138.447	2181.59
227	0.602647	252.944	137.011	2160.56
228	0.636577	250.515	135.59	2139.71
229	0.647005	248.107	134.185	2119.04
230	0.669894	245.72	132.794	2098.55
231	0.544956	243.538	131.522	2079.83
232	0.609194	241.372	130.264	2061.24
233	0.652846	239.223	129.017	2042.8
234	0.654271	237.091	127.783	2024.51
235	15.3874	234.693	126.702	2004.25
236	15.3937	232.32	125.632	1984.19
237	15.4203	229.972	124.572	1964.35
238	15.4494	227.648	123.523	1944.71
239	15.4124	225.349	122.483	1925.28
240	15.5219	223.072	121.455	1906.03
256	1.62844	221.087	120.303	1889
257	1.81329	219.114	119.164	1872.07
258	0.506465	217.182	118.023	1855.48
259	1.03622	215.255	116.898	1838.94
260	1.12002	213.342	115.784	1822.52
261	0.687874	211.453	114.678	1806.3
262	0.53843	209.581	113.58	1790.23
263	0.53214	207.725	112.493	1774.29
264	0.414695	205.886	111.416	1758.5
265	0.489995	204.059	110.349	1742.82
266	0.493673	202.248	109.293	1727.28
267	0.456037	200.451	108.246	1711.86
268	0.519461	198.668	107.21	1696.56
269	0.497094	196.9	106.184	1681.38
270	0.48426	195.146	105.168	1666.34
271	0.267897	193.411	104.159	1651.44
272	0.308766	191.688	103.161	1636.67
273	0.279316	189.98	102.171	1622.02
274	0.272776	188.287	101.192	1607.48
275	0.321831	186.605	100.222	1593.07
276	0.279914	184.939	99.2608	1578.77
277	0.313057	183.285	98.3094	1564.59
278	0.291065	181.645	97.3669	1550.53
279	0.565998	180.014	96.4361	1536.55
280	0.634404	178.394	95.5149	1522.67
281	0.789327	176.785	94.6041	1508.89
282	0.716463	175.191	93.7013	1495.23
283	0.834651	173.608	92.8084	1481.67
284	0.706309	172.041	91.9228	1468.25
285	0.79172	170.485	91.0465	1454.92
286	0.845751	168.941	90.1792	1441.7
287	0.978419	167.407	89.3215	1428.58
288	0.969191	165.887	88.472	1415.57
289	0.77564	164.383	87.6287	1402.7
290	0.850164	162.891	86.7943	1389.92
291	0.749064	161.413	85.967	1377.27
292	0.662436	159.949	85.1467	1364.74
293	0.739177	158.497	84.3351	1352.31
294	0.808852	157.055	83.532	1339.97
295	0.763242	155.626	82.7361	1327.75
296	0.472998	154.216	81.9451	1315.67
297	0.591422	152.914	81.2188	1304.53
298	0.877514	151.619	80.5014	1293.45
299	0.951108	150.332	79.7912	1282.44
300	1.11194	149.052	79.0887	1271.51
301	1.25987	147.78	78.3938	1260.64
302	1.26565	146.519	77.7051	1249.85
303	1.38568	145.265	77.0237	1239.14
304	1.80992	144.014	76.3521	1228.47
305	1.97924	142.771	75.6881	1217.85
306	2.05354	141.536	75.0306	1207.32
307	2.22481	140.309	74.3806	1196.85
308	2.55755	139.086	73.7393	1186.42
309	2.82938	137.868	73.1062	1176.05
310	2.69826	136.664	72.4775	1165.79
311	2.56373	135.472	71.8533	1155.63
312	2.05265	134.299	71.2301	1145.62
313	2.43953	133.129	70.6159	1135.65
314	2.58654	131.967	70.0085	1125.74
315	2.81024	130.81	69.4085	1115.89
316	3.5545	129.65	68.8205	1106.02
317	3.00464	128.51	68.2329	1096.31
318	2.96592	127.381	67.6501	1086.7
319	2.64614	126.267	67.0697	1077.21
320	2.1285	125.172	66.4899	1067.87
321	1.84076	124.091	65.9127	1058.64
322	1.54815	123.025	65.338	1049.53
323	1.60118	121.966	64.7689	1040.5
324	1.38895	120.92	64.203	1031.56
325	8.53972	119.754	63.706	1021.74
326	8.48104	118.602	63.213	1012.03
327	8.34796	117.464	62.7231	1002.43
328	8.13752	116.341	62.2357	992.965
329	8.22224	115.228	61.7535	983.579
330	0.565339	114.263	61.2071	975.312
331	2.24981	113.276	60.6807	966.885
332	2.23907	112.296	60.1589	958.53
333	2.08836	111.328	59.6404	950.265
334	2.40429	110.362	59.1294	942.026
335	2.60636	109.401	58.6247	933.83
338	1.69655	108.464	58.1164	925.826
339	5.17171	107.472	57.6437	917.422
340	4.97378	106.494	57.1735	909.123
336	6.06626	105.505	56.7171	900.754
337	6.1061	104.524	56.2653	892.46
345	9.17163	103.499	55.8448	883.835
346	4.35357	102.57	55.385	875.946
347	1.43835	101.702	54.9034	868.518
348	1.15347	100.846	54.4235	861.188
349	0.404004	100.009	53.9411	854.016
350	0.756427	99.1732	53.4663	846.852
351	1.24862	98.3347	53	839.678
352	1.45771	97.4991	52.5398	832.533
353	1.70578	96.6658	52.086	825.413
354	1.25398	95.8474	51.6321	818.411
355	0.36193	95.0514	51.1743	811.585
356	0.42642	94.2602	50.7212	804.803
357	0.457956	93.4746	50.2725	798.069
358	0.688361	92.7431	49.8593	791.804
359	0.888417	92.0135	49.4512	785.559
360	0.799021	91.2908	49.0457	779.372
361	0.778062	90.5738	48.6435	773.234
362	0.272682	89.8704	48.2404	767.204
363	0.343479	89.1708	47.8413	761.208
364	0.480873	88.474	47.4466	755.239
365	0.543909	87.7811	47.0557	749.305
366	0.478923	87.0944	46.6676	743.423
367	0.529331	86.4118	46.2831	737.577
368	0.444755	85.7356	45.9011	731.786
369	0.482459	85.0636	45.5226	726.032
370	0.624256	84.3942	45.1485	720.302
371	0.67627	83.7288	44.7779	714.609
372	0.760265	83.067	44.4111	708.947
373	0.730427	82.4105	44.0471	703.331
374	0.889753	81.7563	43.6874	697.738
375	0.963786	81.1058	43.3314	692.178
376	0.817471	80.4626	42.9771	686.678
377	0.799852	79.8245	42.6256	681.221
378	0.888249	79.1897	42.2778	675.795
379	0.600842	78.5645	41.9305	670.446
380	0.522817	77.9452	41.5854	665.147
381	0.618952	77.3289	41.244	659.875
382	0.666765	76.7164	40.9059	654.637
383	0.556228	76.1103	40.5697	649.452
384	0.587097	75.5081	40.2365	644.301
385	0.601546	74.9102	39.9062	639.188
386	0.558472	74.3175	39.5783	634.119
387	0.60299	73.7285	39.2535	629.081
388	0.893882	73.139	38.9338	624.046
389	0.893423	72.554	38.6168	619.049
390	0.956892	71.9725	38.303	614.083
391	0.784399	71.3982	37.9903	609.176
392	0.92028	70.8261	37.6814	604.29
393	0.925691	70.2583	37.3751	599.441
394	1.57342	69.684	37.0768	594.549
395	1.83283	69.11	36.7831	589.663
