consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,7.29914,15.4068,16.263
con1,10.2769,,15.4095,14.9572
con2,13.2101,16.0027,,9.51675
con3,13.2139,15.2153,10.2785,
