key,value1,value2
file_size(kB/seg_counts),50000,6104
max_transfer_time(s),16.263,"(0, 3)"
min_transfer_time(s),7.29914,"(0, 1)"
consumer_io(max[μs]/avg[μs]),5918.0,5102.5
producer_io(max[μs]/avg[μs]),271619,261805.5
max/min throughput for single link(Mbps),54.80097655340218,24.595708048945458
throughput(Mbps),73.78712414683638,based on bw=100Mbps
ultilization,0.7378712414683638,73.78712414683638%
consumer io percentage,0.00036389350058414803,0.0363893500584148%
producer io percentage,0.01670165406136629,1.6701654061366291%
