consumer/producer(seconds),pro0,pro1,pro2,pro3
con0,,8.08115,17.3006,15.2436
con1,9.63442,,16.3126,15.9279
con2,13.1368,13.8003,,11.4454
con3,13.1402,13.7955,11.1495,
