host,hit,cold_miss,suppress_miss,retry_miss
client0,1792,28230,47,0
client1,1087,30228,30,0
client2,200,35741,13,0
client3,1048,32784,14,0
s0,3827,42824,1406,4730
s1,2895,44532,4700,6693
s2,1867,33178,587,5181
