segment	rtt	rttvar	srtt	rto
0	421.084	210.542	421.084	2105.42
1	422.5	200.086	421.119	2021.8
2	423.869	191.863	421.176	1956.08
7	425.241	184.038	421.261	1893.57
8	425.782	177.627	421.342	1842.36
9	426.417	171.464	421.432	1793.15
10	127.185	175.301	416.835	1819.25
11	128.18	178.844	412.325	1843.07
12	128.379	181.763	408.381	1862.49
13	129.894	184.45	404.513	1880.11
14	132.272	186.645	401.11	1894.27
15	134.747	188.638	397.78	1906.88
16	136.474	190.289	394.811	1917.12
17	137.404	191.815	391.886	1926.4
18	137.625	193.116	389.237	1934.16
19	139.031	194.305	386.631	1941.07
20	139.797	195.315	384.258	1946.78
21	140.498	196.247	381.914	1951.89
22	123.693	197.353	379.608	1958.44
23	124.031	198.393	377.326	1964.47
24	124.58	199.299	375.22	1969.61
25	125.307	200.143	373.138	1974.28
26	127.323	200.856	371.217	1978.07
27	128.991	201.503	369.325	1981.35
28	128.306	202.084	367.553	1984.22
29	128.655	202.625	365.796	1986.8
30	234.064	201.641	364.881	1978.01
31	235.385	200.639	363.982	1969.09
32	235.137	199.694	363.134	1960.69
33	235.741	198.743	362.296	1952.24
34	234.077	197.861	361.495	1944.38
35	234.696	196.973	360.702	1936.48
36	234.383	196.132	359.95	1929
37	235.731	195.276	359.211	1921.42
38	238.6	194.427	358.526	1913.94
39	240.528	193.559	357.855	1906.32
40	244.654	192.685	357.24	1898.72
41	246.211	191.798	356.637	1891.02
42	245.963	190.953	356.06	1883.68
43	247.376	190.096	355.494	1876.26
44	248.07	189.269	354.957	1869.11
45	249.535	188.43	354.43	1861.87
46	150.337	188.581	353.449	1862.1
47	150.804	188.716	352.474	1862.2
48	150.674	188.837	351.54	1862.24
49	150.93	188.946	350.611	1862.18
50	149.614	189.054	349.714	1862.15
51	150.986	189.14	348.827	1861.95
52	150.514	189.219	347.972	1861.73
53	151.878	189.279	347.127	1861.36
54	159.854	189.262	346.346	1860.44
55	161.191	189.228	345.575	1859.4
56	161.355	189.187	344.832	1858.33
57	162.705	189.13	344.098	1857.14
58	162.725	189.07	343.389	1855.95
59	165.489	188.983	342.694	1854.55
60	165.634	188.892	342.024	1853.16
61	167.048	188.787	341.361	1851.66
62	171.563	188.647	340.737	1849.91
63	172.752	188.495	340.119	1848.08
64	171.484	188.353	339.517	1846.34
65	172.175	188.203	338.919	1844.55
66	170.755	188.064	338.335	1842.85
67	171.286	187.918	337.755	1841.1
68	171.334	187.773	337.193	1839.38
69	172.044	187.62	336.635	1837.6
6	1266.72	192.776	339.865	1882.07
5	1266.97	197.876	343.084	1926.09
70	471.528	197.393	343.53	1922.68
71	472.821	196.907	343.991	1919.25
72	473.16	196.423	344.453	1915.84
73	477.116	195.954	344.94	1912.58
74	477.814	195.49	345.429	1909.35
75	478.527	195.018	345.933	1906.08
76	477.926	194.54	346.433	1902.76
77	480.581	194.069	346.957	1899.51
78	478.094	193.577	347.469	1896.08
79	478.475	193.072	347.998	1892.58
80	478.209	192.565	348.523	1889.05
81	478.631	192.045	349.065	1885.42
82	475.202	191.496	349.59	1881.56
83	475.37	190.929	350.132	1877.57
84	474.998	190.36	350.671	1873.55
85	475.545	189.775	351.228	1869.43
86	475.794	189.193	351.784	1865.33
87	477.229	188.602	352.365	1861.18
88	477.835	188.018	352.946	1857.09
89	479.535	187.427	353.554	1852.97
90	479.177	186.833	354.158	1848.82
91	479.95	186.223	354.787	1844.57
92	480.497	185.617	355.416	1840.36
93	481.816	185.001	356.074	1836.08
94	478.173	184.345	356.71	1831.47
95	478.761	183.668	357.374	1826.72
96	479.2	182.996	358.036	1822
97	480.389	182.307	358.731	1817.19
98	487.715	181.701	359.464	1813.07
99	489.092	181.081	360.235	1808.88
100	493.847	180.516	361.031	1805.16
101	495.159	179.936	361.869	1801.36
102	495.699	179.36	362.705	1797.58
103	498.263	178.783	363.597	1793.86
104	498.319	178.204	364.483	1790.11
105	499.8	177.639	365.374	1786.49
106	502.243	177.103	366.274	1783.1
107	503.737	176.581	367.179	1779.83
108	503.61	176.053	368.076	1776.5
109	504.894	175.537	368.976	1773.27
110	494.795	174.883	369.804	1768.86
111	495.579	174.236	370.631	1764.52
112	494.734	173.577	371.448	1760.06
113	495.34	172.923	372.263	1755.65
114	494.294	172.253	373.066	1751.09
115	495.25	171.595	373.87	1746.63
116	494.318	170.922	374.662	1742.04
117	495	170.256	375.454	1737.5
118	494.912	169.588	376.24	1732.94
119	495.489	168.925	377.024	1728.43
120	493.524	168.235	377.791	1723.67
121	494.141	167.553	378.556	1718.98
122	494.495	166.874	379.319	1714.31
123	495.063	166.201	380.08	1709.69
124	494.235	165.516	380.831	1704.96
125	495.071	164.841	381.583	1700.31
126	382.177	162.68	381.587	1683.03
127	383.423	160.564	381.599	1666.11
128	386.985	158.522	381.634	1649.81
129	388.901	156.532	381.682	1633.94
130	406.273	154.796	381.844	1620.21
131	407.625	153.098	382.014	1606.8
132	408.489	151.432	382.188	1593.64
133	408.928	149.791	382.364	1580.7
134	410.397	148.189	382.548	1568.06
135	411.085	146.615	382.736	1555.66
136	411.857	145.069	382.927	1543.48
137	413.21	143.559	383.127	1531.6
138	414.027	142.076	383.33	1519.94
139	414.598	140.618	383.536	1508.48
140	414.539	139.176	383.74	1497.15
141	415.349	137.761	383.948	1486.03
142	166.676	138.807	382.518	1492.97
143	167.747	139.806	381.105	1499.56
144	166.97	140.784	379.696	1505.97
145	168.482	141.711	378.307	1512
146	170.177	142.541	377.006	1517.34
147	169.835	143.349	375.711	1522.5
148	170.442	144.123	374.428	1527.41
149	171.231	144.862	373.158	1532.05
150	250.651	144.582	372.393	1529.05
151	250.981	144.293	371.634	1525.97
152	255.745	143.938	370.909	1522.41
153	256.615	143.567	370.195	1518.73
154	257.174	143.185	369.489	1514.97
155	257.777	142.792	368.791	1511.12
156	258.031	142.391	368.098	1507.23
157	258.705	141.979	367.415	1503.25
158	258.842	141.561	366.736	1499.23
159	259.769	141.129	366.067	1495.1
160	260.767	140.681	365.409	1490.86
161	261.29	140.224	364.759	1486.55
162	261.263	139.765	364.112	1482.23
163	261.999	139.294	363.474	1477.83
164	262.705	138.813	362.844	1473.34
165	260.175	138.361	362.202	1469.09
166	258.77	137.924	361.556	1464.95
167	242.013	137.694	360.808	1462.36
168	242.432	137.453	360.069	1459.69
169	241.241	137.22	359.326	1457.09
170	242.213	136.969	358.594	1454.34
171	240.613	136.731	357.857	1451.71
172	263.561	136.201	357.267	1446.88
173	262.956	135.677	356.678	1442.1
174	262.076	135.164	356.087	1437.4
175	261.404	134.658	355.495	1432.76
176	261.382	134.151	354.907	1428.12
177	261.629	133.64	354.324	1423.45
178	261.306	133.132	353.742	1418.8
179	164.408	133.835	352.559	1423.24
180	163.489	134.562	351.315	1427.81
181	159.4	135.316	350.052	1432.58
182	161.266	136.059	348.741	1437.21
183	160.992	136.777	347.438	1441.65
184	161.758	137.496	346.072	1446.04
185	162.431	138.175	344.722	1450.12
186	163.566	138.846	343.307	1454.08
187	163.971	139.479	341.906	1457.74
188	163.888	140.121	340.422	1461.39
189	163.797	140.73	338.95	1464.79
190	146.106	141.66	337.228	1470.51
191	146.102	142.544	335.522	1475.87
192	140.81	143.547	333.65	1482.02
193	140.058	144.509	331.788	1487.86
194	139.73	145.5	329.788	1493.79
195	138.907	146.445	327.799	1499.36
196	138.742	147.414	325.651	1504.96
197	137.88	148.331	323.517	1510.16
198	137.958	149.262	321.198	1515.29
199	136.954	150.136	318.895	1519.98
200	135.856	150.959	316.607	1524.28
201	135.408	151.715	314.342	1528.06
202	135.417	152.395	312.105	1531.27
203	134.508	153.025	309.885	1534.09
204	133.294	153.614	307.678	1536.59
205	131.913	154.168	305.481	1538.82
206	131.954	154.652	303.312	1540.53
207	132.284	155.061	301.174	1541.66
208	131.394	155.429	299.052	1542.49
209	131.357	155.736	296.955	1542.84
210	130.468	156.005	294.874	1542.91
211	130.552	156.213	292.82	1542.52
212	124.269	156.521	290.713	1542.88
213	125.059	156.749	288.643	1542.64
214	125.942	156.898	286.609	1541.79
215	126.395	156.981	284.606	1540.45
216	127.198	156.992	282.639	1538.57
217	127.118	156.958	280.871	1536.54
218	128.753	156.848	279.143	1533.93
219	93.8547	157.495	277.037	1536.99
220	93.7705	158.139	274.746	1539.86
221	93.8999	158.707	272.486	1542.14
222	95.5834	159.212	270.029	1543.73
223	96.2139	159.618	267.615	1544.56
224	96.4265	159.979	264.94	1544.77
225	96.2285	160.252	262.304	1544.32
226	96.1328	160.464	259.336	1543.04
227	96.9267	160.533	256.436	1540.7
228	97.9238	160.449	253.134	1536.72
229	101.35	160.088	249.972	1530.67
230	101.682	159.498	246.265	1522.25
231	102.032	158.862	243.26	1514.15
232	101.909	158.132	240.315	1505.37
233	107.242	157.088	237.543	1494.25
234	106.392	156.007	234.81	1482.87
235	106.345	154.86	232.134	1471.01
236	106.658	153.635	229.52	1458.6
237	106.039	152.379	226.947	1445.98
238	107.225	151.018	224.453	1432.6
239	107.18	149.612	222.01	1418.91
240	106.381	148.196	219.601	1405.17
241	87.8208	147.512	216.855	1396.95
242	88.2027	146.569	213.639	1386.19
243	88.0547	145.52	210.5	1374.66
244	88.1069	144.075	206.675	1359.27
245	81.3743	142.901	202.759	1345.97
246	85.3013	140.781	197.865	1324.11
247	86.2142	138.353	193.213	1300.04
248	86.8653	135.686	188.782	1274.27
249	90.9516	132.532	184.706	1244.96
250	93.0848	129.122	180.888	1213.87
251	94.2656	125.581	177.279	1181.92
252	97.7011	121.747	173.963	1147.94
253	89.368	119.425	171.319	1126.72
254	87.331	116.472	167.82	1099.6
255	85.7987	113.601	164.402	1073.21
256	81.8124	109.725	159.24	1037.04
257	79.0373	106.035	154.228	1002.5
258	78.0539	102.302	149.467	967.883
259	74.4352	98.8932	144.777	935.923
260	74.5549	95.3093	140.389	902.863
261	48.8459	94.8385	134.667	893.375
262	52.5941	93.2428	129.538	875.48
263	54.0791	91.0198	124.821	852.979
264	55.5589	89.2067	121.935	835.589
265	56.3592	87.2375	119.203	817.103
266	39.8502	86.5804	115.897	808.54
267	38.5351	85.8122	112.673	799.171
268	37.9153	84.891	109.558	788.686
269	38.5428	83.7347	106.599	776.477
270	37.8974	82.482	103.737	763.593
271	37.8716	81.0973	100.992	749.771
272	41.8944	79.264	98.53	732.642
273	45.4499	77.082	96.3184	712.974
274	46.5497	74.8059	94.2447	692.692
275	47.4696	71.302	91.3212	661.738
276	48.6807	67.7193	88.6562	630.411
277	48.8322	64.2324	86.1672	600.027
278	50.0453	60.7186	83.9096	569.658
279	39.1729	58.7209	81.1135	550.881
280	35.0113	57.1435	78.2321	535.38
281	34.9939	55.4054	75.5298	518.773
282	33.5326	53.7293	72.9049	502.74
283	35.1744	49.7296	68.1886	466.026
284	33.6896	45.922	63.8762	431.252
285	31.8205	42.4554	59.8693	399.513
286	35.9225	40.1418	58.3726	379.507
287	26.1263	39.1549	56.3572	369.596
288	23.9871	37.4587	52.3109	351.98
289	25.5788	34.7771	48.9694	327.186
290	29.9225	30.8445	46.5886	293.345
291	23.0919	29.0076	43.6515	275.712
292	23.9087	26.6914	41.1836	254.715
293	23.7574	25.5332	40.0945	244.36
294	25.3392	24.186	39.1723	232.66
295	25.0452	22.9286	38.2893	221.718
296	26.3848	21.5506	37.5453	209.95
297	23.2375	20.6453	36.6511	201.813
298	19.608	20.195	35.5859	200
299	20.534	19.5521	34.6451	200
300	20.0963	18.9267	33.7358	200
301	21.1774	18.396	33.2126	200
302	21.3748	17.8495	32.7193	200
303	20.0109	17.4211	32.1898	200
304	25.4747	16.5289	31.91	200
305	27.843	15.4904	31.7405	200
306	28.5052	14.4691	31.6057	200
307	28.3247	13.5368	31.469	200
308	30.244	12.5108	31.418	200
309	26.7091	11.8607	31.2218	200
310	27.3855	11.192	31.0619	200
311	26.1188	10.6712	30.856	200
312	26.2146	10.1687	30.6626	200
313	26.9609	9.62981	30.5083	200
314	26.694	9.26634	30.3892	200
315	23.9931	9.02715	30.1226	200
316	27.5174	8.492	30.0141	200
317	24.1378	8.16503	29.6468	200
318	24.7835	7.75232	29.3429	200
319	24.7105	7.36233	29.0533	200
320	26.1398	6.80624	28.8712	200
321	27.3744	6.14256	28.7777	200
322	23.7934	5.99777	28.4662	200
323	24.5599	5.73633	28.222	200
324	24.4444	5.57311	28.0646	200
325	23.7542	5.46788	27.885	200
326	24.4529	5.29823	27.742	200
327	23.3622	5.22169	27.5595	200
328	23.3516	5.13721	27.3842	200
329	23.9164	4.9981	27.2397	200
330	24.0757	4.84526	27.1079	200
331	23.41	4.74964	26.9538	200
332	22.0226	4.76477	26.7483	200
333	19.3277	4.98609	26.4391	200
334	19.1806	5.17545	26.1367	200
335	19.2808	5.31549	25.851	200
336	19.9673	5.38653	25.4833	200
337	20.6533	5.31696	25.1814	200
338	20.4478	5.24405	24.8856	200
339	20.6017	5.12403	24.6178	200
340	18.6733	5.22659	24.2463	200
341	15.9712	5.60766	23.7291	200
342	16.4457	5.81712	23.2739	200
343	18.0432	5.74381	22.947	200
344	18.5357	5.57725	22.6713	200
345	14.9876	5.75278	22.3511	200
346	15.6606	5.83093	22.0723	200
347	15.1156	5.92475	21.7825	200
348	14.9594	5.99961	21.4982	200
349	15.107	6.03224	21.2319	200
350	17.1729	5.8678	21.0628	200
351	21.4103	5.40778	21.0772	200
352	22.6814	5.09081	21.1441	200
353	24.1971	4.92099	21.2713	200
354	25.5483	4.86733	21.4495	200
355	26.3376	4.86906	21.6532	200
356	28.3536	5.02168	21.9323	200
357	29.6946	5.25006	22.2558	200
358	27.8547	5.27187	22.4307	200
359	28.0266	5.29212	22.6056	200
360	27.3744	5.25941	22.7546	200
361	25.9396	5.12975	22.8542	200
362	25.1262	4.95114	22.9252	200
363	23.1291	4.65444	22.9315	200
364	23.3695	4.39091	22.9452	200
365	24.516	4.21465	22.9943	200
366	22.7515	3.96641	22.9867	200
367	21.2514	3.82696	22.9325	200
368	20.5997	3.73358	22.8596	200
369	19.1584	3.73156	22.7439	200
370	20.6064	3.63193	22.6771	200
371	19.2717	3.61777	22.5707	200
372	18.2971	3.65876	22.4372	200
373	19.1754	3.62568	22.3013	200
374	19.9426	3.52009	22.203	200
375	19.1127	3.46636	22.0098	200
376	18.6942	3.44752	21.8026	200
377	19.0971	3.35476	21.6335	200
378	19.3135	3.26854	21.5368	200
379	18.8362	3.22121	21.4243	200
380	17.3921	3.2888	21.2563	200
381	17.0801	3.36275	21.0823	200
382	17.9327	3.34498	20.9511	200
383	18.7293	3.25139	20.8585	200
384	20.7032	2.99338	20.852	200
385	20.3377	2.78679	20.8306	200
386	23.9803	2.81703	20.9618	200
387	24.0096	2.83625	21.0888	200
388	22.6224	2.67342	21.1847	200
389	22.7006	2.52874	21.2794	200
390	22.4624	2.36051	21.3533	200
391	23.1847	2.29437	21.4678	200
392	22.7618	2.16932	21.5487	200
393	15.6531	2.6351	21.1802	200
394	15.1201	3.06322	20.8014	200
395	15.0751	3.39611	20.4436	200
396	16.4239	3.47405	20.1923	200
397	17.1944	3.41453	20.005	200
398	19.9209	3.13699	20.0015	200
399	18.5188	2.99913	19.9397	200
400	18.5361	2.86617	19.8812	200
401	18.575	2.73617	19.8268	200
402	19.1913	2.47358	19.787	200
403	19.933	2.18263	19.7962	200
404	16.4199	2.48103	19.3741	200
405	17.3347	2.42583	19.2467	200
406	18.5445	2.21038	19.2028	200
407	16.6612	2.25178	19.0439	200
408	17.1915	2.15193	18.8124	200
409	16.3174	2.23769	18.5005	200
410	17.3541	1.96488	18.3572	200
411	16.5415	1.92758	18.1302	200
412	17.8255	1.52186	18.0922	200
413	17.0024	1.46784	18.024	200
414	15.781	1.56474	17.8839	200
415	15.2811	1.69449	17.7212	200
416	15.8805	1.71277	17.6061	200
417	14.4648	1.89134	17.4098	200
418	18.556	1.7982	17.4814	200
419	19.1244	1.77879	17.5841	200
420	19.7989	1.83329	17.7225	200
421	20.5757	1.91828	17.8414	200
422	20.7405	2.00001	17.9622	200
423	18.6868	1.89372	17.9924	200
424	18.6197	1.78818	18.0185	200
425	18.5283	1.62838	18.0504	200
426	19.297	1.58066	18.1283	200
427	18.5222	1.28398	18.1776	200
428	18.4336	1.15549	18.1936	200
429	17.1922	1.13622	18.131	200
430	16.5213	1.1954	18.0304	200
431	17.1903	1.15098	17.9779	200
432	18.4753	1.06929	18.009	200
433	15.1063	1.29846	17.8275	200
434	15.1942	1.46532	17.663	200
435	17.3341	1.32326	17.6424	200
436	18.0305	1.24532	17.6586	200
437	16.5481	1.23408	17.6123	200
438	13.5654	1.46848	17.4437	200
439	13.0404	1.71305	17.2602	200
440	11.5069	2.04974	17.0205	200
441	13.6446	2.16025	16.8798	200
442	14.2566	2.19884	16.7705	200
443	16.4317	2.04384	16.7564	200
444	15.8327	1.95049	16.7179	200
445	14.2678	1.99212	16.6158	200
446	15.0514	1.95648	16.5507	200
447	13.6183	2.0378	16.4285	200
448	14.3205	2.04365	16.3406	200
449	16.4875	1.88558	16.3468	200
450	15.2536	1.78653	16.2784	200
451	14.3768	1.80092	16.1596	200
452	14.4625	1.78794	16.0535	200
453	14.7	1.73363	15.9689	200
454	14.5555	1.6936	15.8806	200
455	14.7706	1.62065	15.8112	200
