host,hit,cold_miss,suppress_miss,retry_miss
client0,48,33111,0,0
client1,1354,30441,25,0
client2,804,30893,36,0
client3,180,35182,9,0
s0,2679,44586,2658,4045
s1,1542,44554,6134,3944
s2,872,32576,528,4318
